Accession   Position
A0A4Z0Z5N9	202-393
A0A4Z0Z8S2	89-309
A0A4Z0ZBZ0	36-311
A0A6A6GXG8	111-344
A0A6A6H4U9	72-262
A0A6A6H9P3	98-361
A0A6A6HHK4	112-302
A0A6A6HPD6	87-346
A0A6A6NPE1	74-326
A0A6A6NZ05	113-337
A0A6A6P305	109-336
A0A6A6P320	89-322
A0A6A6P8E7	36-291
A0A6A6PDQ3	97-342
A0A6A6TY72	67-285
A0A6A6TZ24	88-342
A0A6A6TZQ7	70-298
A0A6A6U210	81-314
A0A6A6U4B6	95-338
A0A6A6U8W6	116-347
A0A6A6UAE3	75-304
A0A6A6UE26	72-320
A0A6A6UN72	33-259
A0A6A6UW36	71-307
A0A6A6VU64	111-298
A0A6A6VVH4	53-330
A0A6A6VYK2	123-354
A0A6A6VZ00	96-324
A0A6A6VZ40	84-333
A0A6A6W082	98-330
A0A6A6W7X2	60-349
A0A6A6W8L4	85-342
A0A6A6WC88	57-356
A0A6A6WEL2	66-329
A0A6A6WGM4	69-263
A0A6A6WID7	75-292
A0A6A6WLA0	80-324
A0A6G1FV90	79-263
A0A6G1FWN2	67-296
A0A6G1G481	146-413
A0A6G1G927	1-241
A0A6G1G9W7	83-311
A0A6G1GCC6	88-272
A0A6G1GDK8	34-268
A0A6G1GF28	104-338
A0A6G1GF50	109-377
A0A6G1HLY0	58-306
A0A6G1HNC2	74-310
A0A6G1HWI3	82-357
A0A6G1HXT1	63-292
A0A6G1I2N2	75-325
A0A6P8AME8	223-413
A0A6P8AU99	70-310
A0A6P8AYP6	68-265
A0A6P8AZ63	95-316
A0A6P8AZF3	73-281
A0A6P8B315	77-297
A0A6P8B4K3	68-271
A0A6P8B8G8	79-322
A0A6P8BBR4	103-355
A0A6P8BEE0	64-250
A0A6P8BIK3	101-328
A0A6P8BJH6	65-275
A0A6P8BK20	67-249
A0A6P8BKM3	148-333
A0A6P8BLM6	109-342
A0A6P8BM78	112-344
A0A8E2DWK1	98-350
A0A8E2E040	58-310
A0A8E2E888	91-304
A0A8E2EJQ3	73-293
A0A8E2J837	137-370
A0A8E2JHT1	69-315
A0A8H3EN91	87-342
A0A8H3FB07	81-301
A0A8H3FLJ8	106-271
A0A8H3FNM0	130-318
A0A8H3FR24	72-351
A0A8H3FVH9	87-303
A0A8H3FYE1	94-321
A0A8H3G5H2	74-316
A0A8H3G6G5	91-314
A0A8H3I335	132-325
A0A8H3IAU0	117-307
A0A8H3IF87	88-356
A0A8H3IRN5	384-670
A0A8H3IRP0	91-313
A0A8H3J0U5	62-342
A0A8H3J3F8	69-391
A0A8H3U2Q4	73-322
A0A8H3UFY5	83-285
A0A8H3V839	64-283
A0A8H3WZW9	69-362
A0A8H3XIS9	71-364
A0A8H3YLS0	78-330
A0A8H3YMW2	56-300
A0A8H3YPL6	42-256
A0A8H3YQ24	57-293
A0A8H3Z1L5	97-313
A0A8H3Z1W3	96-287
A0A8H3ZAJ8	119-297
A0A8H4AMR5	56-344
A0A8H4AZG0	71-362
A0A8H4B004	69-362
A0A8H4C5A1	73-265
A0A8H4C6U6	75-283
A0A8H4C956	36-309
A0A8H4CAL0	99-327
A0A8H4CD88	101-337
A0A8H4CE41	177-354
A0A8H4CHB6	97-324
A0A8H4CIC1	65-262
A0A8H4CIP3	82-266
A0A8H4CJG9	148-320
A0A8H4CJL9	79-296
A0A8H4CL76	69-246
A0A8H4CL90	71-255
A0A8H4CME3	114-348
A0A8H4CNT5	66-254
A0A8H4CP16	64-343
A0A8H4CPR6	39-273
A0A8H4CQC8	112-348
A0A8H4CRX0	67-253
A0A8H4CT47	67-254
A0A8H4CUC1	75-306
A0A8H4CVC9	110-353
A0A8H4CX26	72-281
A0A8H4CXN0	66-280
A0A8H4ELV1	124-320
A0A8H4ER60	70-346
A0A8H4ERI9	11-295
A0A8H4ESM0	75-377
A0A8H4ESV6	78-368
A0A8H4EUW6	69-362
A0A8H4FBY6	109-345
A0A8H4FFA4	68-270
A0A8H4FHG1	95-296
A0A8H4FI02	74-302
A0A8H4FM17	73-252
A0A8H4FMR9	105-335
A0A8H4FPA4	81-273
A0A8H4FPM4	126-357
A0A8H4FQ42	78-290
A0A8H4FQ80	95-326
A0A8H7AB16	19-236
A0A8H7AEH3	140-415
A0A8H7AFZ9	60-331
A0A8H7C4Z8	82-377
A0A8H7C551	48-298
A0A8H7E323	73-304
A0A8H7E394	74-313
A0A8H7F0X6	52-277
A0A8H7F114	48-294
A0A8H7F118	48-295
A0A8H7F178	162-418
A0A8J5NLS7	67-269
A0A8J5NND1	71-281
A0A8J5NR04	54-385
A0A8J5NRV3	67-285
A0A8J5P700	99-324
A0A8J5P8T9	75-313
A0A8J5PCQ5	73-377
A0A8J5TNI1	78-432
A0A8J5TR18	86-342
A0A8J5TU76	76-434
A0A8J5TWT7	109-342
A0A8J5TY65	42-260
A0A8T8SAS9	4-177
A0A8T8SBY8	125-335
A0A8T8SC70	125-335
A0A9P4I4W6	62-325
A0A9P4I595	68-259
A0A9P4IKI1	131-377
A0A9P4IKZ6	73-308
A0A9P4M4U2	82-326
A0A9P4M8Q7	63-315
A0A9P4S3D7	76-313
A0A9P4S7W4	105-335
A0A9P4SB82	68-398
A0A9P4SC62	102-330
A0A9P4SDQ3	111-361
A0A9P4SEQ9	2-95
A0A9P4SI96	113-358
A0A9P4SJP1	3-154
A0A9P4SKK5	93-311
A0A9P4VMM4	33-283
A0A9P4VSJ9	89-339
A0A9P5JXT8	85-296
A0A9P5JY23	85-299
A0A9P5JYN0	85-296
A0A9P5JYN9	67-280
A0A9P5JYU8	85-296
A0A9P5JZA9	85-299
A0A9P5JZI2	85-296
A0A9P5MS31	55-299
A0A9P5MS95	55-300
A0A9P5MSK9	82-294
A0A9P5MVU0	74-291
A0A9P6H427	82-297
A0A9P6H4S6	88-293
A0A9P6H6N4	83-305
A0A9P6H6P2	84-306
A0A9P6HAV3	83-302
A0A9P6HE18	79-298
A0A9P6HEG3	80-299
A0A9P6HES9	80-295
A0A9P6HFP7	80-302
A0A9P6L1G9	79-300
A0A9P6QMX7	36-326
A0A9P8HZL9	83-363
A0A9P8I7W5	53-306
A0A9P8L2T7	96-292
A7UWM5	101-338
A7UX66	102-338
D5G590	81-287
D5GIK5	344-599
D5GIM5	54-309
D5GL91	169-396
E3KSA5	127-311
E3L5F5	164-355
F4NVT9	73-254
F4P2Z0	50-230
F4P543	67-250
F4P661	64-247
F4P662	249-424
F4P663	368-550
F4P7Q7	65-247
F4PBI8	66-255
F4PBL1	86-269
F4PFF7	68-251
F4PG32	38-213
G4TM93	48-300
G4TM94	48-298
G4TM95	47-304
G4TU73	108-326
G4TVT3	126-342
G4TYT1	108-326
H6BWF1	95-318
H6C0N0	117-348
H6C0Q8	92-315
H6C7R7	79-323
H6QSQ9	143-334
I4YA87	71-305
I4YAA8	65-271
I4YCE2	67-276
I4YFA0	117-326
K2QYV7	116-354
K2R561	111-345
K2R6Z6	50-220
K2R777	85-320
K2RF87	103-357
K2RLK6	70-291
K2RPY3	13-203
K2RQ67	88-301
K2RZA2	111-347
K2S416	40-271
M5C284	17-212
M5C5W9	54-364
P00440	58-319
Q7S0E7	65-258
Q7S218	109-375
Q7S4R1	148-352
Q7SFK3	98-361
S7QB03	96-310
U7PL38	118-350
U7PQI0	94-343
U7PQY9	28-281
U7PSB9	103-321
U7PU60	111-335
U7PUG4	76-326
V5IPR9	94-332
A0A074XND5	151-209
A0A084G7S9	99-232
A0A0B7FMY1	47-115
A0A0B7FR21	1-158
A0A0B7FSE1	90-260
A0A0C3FFN2	2-189
A0A0C3FV27	40-167
A0A0C3FYC9	83-116
A0A0C9ZMD3	33-226
A0A0D1CHR5	496-694
A0A0D1E6L1	110-301
A0A0F9WDC2	44-102
A0A0F9WDC2	123-200
A0A137NQ04	16-120
A0A137NW82	5-94
A0A137NZ11	3-33
A0A137P2W7	6-62
A0A137P4I0	1-53
A0A137P4Q5	48-126
