DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	genus
COLOR	#ff0000
DATA
Venturia_inaequalis	#48f2c8	Venturia
Thalassiosira_oceanica	#e2a1d6	Thalassiosira
Chitinophaga_japonensis	#31661a	Chitinophaga
Echinicola_pacifica	#01ff9e	Echinicola
Haliscomenobacter_hydrossis	#17ba4f	Haliscomenobacter
Mucilaginibacter_frigoritolerans	#27351b	Mucilaginibacter
Ktedonospora_formicarum	#cb0592	Ktedonospora
Pseudocohnilembus_persalinus	#5ee11d	Pseudocohnilembus
Stylonychia_lemnae	#28b287	Stylonychia
Deinococcus_yavapaiensis	#079cd1	Deinococcus
Plasmodiophora_brassicae	#3cc74e	Plasmodiophora
Peribacillus_psychrosaccharolyticus	#1743e8	Peribacillus
Sporotomaculum_syntrophicum	#4aa128	Sporotomaculum
Longimicrobium_terrae	#74aa64	Longimicrobium
Hondaea_fermentalgiana	#eb4c57	Hondaea
Salpingoeca_rosetta	#817f00	Salpingoeca
Polarella_glacialis	#e6ae20	Polarella
Nannochloropsis_gaditana	#fe4f48	Nannochloropsis
Sphaeroforma_arctica	#54da17	Sphaeroforma
Aureococcus_anophagefferens	#e7e204	Aureococcus
Ectocarpus_siliculosus	#c66df3	Ectocarpus
Tribonema_minus	#1b8660	Tribonema
Singulisphaera_acidiphila	#0d892c	Singulisphaera
Galdieria_sulphuraria	#ce0d5f	Galdieria
Gracilariopsis_chorda	#25af1b	Gracilariopsis
Nitrososphaeraceae_archaeon	#8142e0	nan
Brevifollis_gellanilyticus	#a1127f	Brevifollis
Chlorella_variabilis	#a4aedb	Chlorella
Chara_braunii	#84971b	Chara
Klebsormidium_nitens	#c9d031	Klebsormidium
Marchantia_polymorpha	#357c40	Marchantia
Adiantum_capillus-veneris	#a65d34	Adiantum
