DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	family
COLOR	#ff0000
DATA
Venturia_inaequalis	#3f90bb	Venturiaceae
Strongylocentrotus_purpuratus	#f4a918	Strongylocentrotidae
Holothuria_leucospilota	#f06114	Holothuriidae
Amphimedon_queenslandica	#75aaee	Niphatidae
Didymodactylos_carnosus	#408483	Philodinidae
Edaphobacter_modestus	#191cf2	Acidobacteriaceae
Luteitalea_pratensis	#915313	Vicinamibacteraceae
Candidatus_Manganitrophus_noduliformans	#40126d	Nitrospiraceae
Fimbriimonas_ginsengisoli	#1a08e7	Fimbriimonadaceae
Fragilariopsis_cylindrus	#f30912	Bacillariaceae
Thalassiosira_oceanica	#1243b9	Thalassiosiraceae
Chitinophaga_japonensis	#0e2347	Chitinophagaceae
Echinicola_pacifica	#6c0699	Cyclobacteriaceae
Haliscomenobacter_hydrossis	#3a74b3	Haliscomenobacteraceae
Mucilaginibacter_frigoritolerans	#68e770	Sphingobacteriaceae
Ktedonospora_formicarum	#a2dd74	Ktedonobacteraceae
Pseudocohnilembus_persalinus	#71bb0a	Pseudocohnilembidae
Stylonychia_lemnae	#17d219	Oxytrichidae
Deinococcus_yavapaiensis	#62c6b5	Deinococcaceae
Plasmodiophora_brassicae	#2ccb46	Plasmodiophoridae
Peribacillus_psychrosaccharolyticus	#7964cc	Bacillaceae
Sporotomaculum_syntrophicum	#44d7bc	Desulfallaceae
Longimicrobium_terrae	#093258	Longimicrobiaceae
Hondaea_fermentalgiana	#c88103	Thraustochytriaceae
Salpingoeca_rosetta	#b04f33	Salpingoecidae
Polarella_glacialis	#3bcf9b	Suessiaceae
Nannochloropsis_gaditana	#b84f7a	Monodopsidaceae
Sphaeroforma_arctica	#ed56db	nan
Aureococcus_anophagefferens	#ed56db	nan
Ectocarpus_siliculosus	#a89e76	Ectocarpaceae
Tribonema_minus	#2cb331	Tribonemataceae
Singulisphaera_acidiphila	#9653e4	Isosphaeraceae
Galdieria_sulphuraria	#065ddd	Cyanidiaceae
Gracilariopsis_chorda	#134c79	Gracilariaceae
Nitrososphaeraceae_archaeon	#4743eb	Nitrososphaeraceae
Brevifollis_gellanilyticus	#41009c	Verrucomicrobiaceae
Chlorella_variabilis	#7f833c	Chlorellaceae
Chara_braunii	#c66524	Characeae
Klebsormidium_nitens	#1d5c63	Klebsormidiaceae
Marchantia_polymorpha	#8387ba	Marchantiaceae
Adiantum_capillus-veneris	#26a51c	Pteridaceae
