DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	genus-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#a2a78e	Pseudovirgaria
Pyrenophora_tritici-repentis	#bd59b8	Pyrenophora
Stemphylium_lycopersici	#d01311	Stemphylium
Sporormia_fimetaria	#61aa3d	Sporormia
Westerdykella_ornata	#ab20b6	Westerdykella
Polyplosphaeria_fusca	#bfe589	Polyplosphaeria
Dendryphion_nanum	#08f20f	Dendryphion
Trematosphaeria_pertusa	#f55c0f	Trematosphaeria
Viridothelium_virens	#524548	Viridothelium
Tothia_fuscella	#f0123e	Tothia
Verruconis_gallopava	#39c03d	Verruconis
Venturia_effusa	#873774	Venturia
Venturia_inaequalis	#873774	Venturia
Venturia_nashicola	#873774	Venturia
Cyphellophora_europaea	#887a2d	Cyphellophora
Capronia_coronata	#2f2504	Capronia
Capronia_epimyces	#2f2504	Capronia
Cladophialophora_carrionii	#e6c773	Cladophialophora
Cladophialophora_immunda	#e6c773	Cladophialophora
Cladophialophora_psammophila	#e6c773	Cladophialophora
Cladophialophora_yegresii	#e6c773	Cladophialophora
Exophiala_aquamarina	#7b7644	Exophiala
Exophiala_dermatitidis	#7b7644	Exophiala
Exophiala_mesophila	#7b7644	Exophiala
Exophiala_oligosperma	#7b7644	Exophiala
Exophiala_sideris	#7b7644	Exophiala
Exophiala_spinifera	#7b7644	Exophiala
Exophiala_xenobiotica	#7b7644	Exophiala
Fonsecaea_erecta	#7d572b	Fonsecaea
Fonsecaea_multimorphosa	#7d572b	Fonsecaea
Fonsecaea_pedrosoi	#7d572b	Fonsecaea
Phialophora_attinorum	#d58598	Phialophora
Phialophora_macrospora	#d58598	Phialophora
Rhinocladiella_mackenziei	#1d22b8	Rhinocladiella
Chaetothyriales_sp._CBS_132003	#0c4206	nan
Chaetothyriales_sp._CBS_134916	#0c4206	nan
Chaetothyriales_sp._CBS_134920	#0c4206	nan
Chaetothyriales_sp._CBS_135597	#0c4206	nan
Aspergillus_aculeatus	#08bb31	Aspergillus
Aspergillus_alliaceus	#08bb31	Aspergillus
Aspergillus_arachidicola	#08bb31	Aspergillus
Aspergillus_avenaceus	#08bb31	Aspergillus
Aspergillus_awamori	#08bb31	Aspergillus
Aspergillus_bertholletiae	#08bb31	Aspergillus
Aspergillus_bombycis	#08bb31	Aspergillus
Aspergillus_brasiliensis	#08bb31	Aspergillus
Aspergillus_burnettii	#08bb31	Aspergillus
Aspergillus_caelatus	#08bb31	Aspergillus
Aspergillus_calidoustus	#08bb31	Aspergillus
Aspergillus_candidus	#08bb31	Aspergillus
Aspergillus_carbonarius	#08bb31	Aspergillus
Aspergillus_chevalieri	#08bb31	Aspergillus
Aspergillus_clavatus	#08bb31	Aspergillus
Aspergillus_coremiiformis	#08bb31	Aspergillus
Aspergillus_cristatus	#08bb31	Aspergillus
Aspergillus_ellipticus	#08bb31	Aspergillus
Aspergillus_felis	#08bb31	Aspergillus
Aspergillus_fischeri	#08bb31	Aspergillus
Aspergillus_fumigatiaffinis	#08bb31	Aspergillus
Aspergillus_fumigatus	#08bb31	Aspergillus
Aspergillus_glaucus	#08bb31	Aspergillus
Aspergillus_heteromorphus	#08bb31	Aspergillus
Aspergillus_hiratsukae	#08bb31	Aspergillus
Aspergillus_homomorphus	#08bb31	Aspergillus
Aspergillus_ibericus	#08bb31	Aspergillus
Aspergillus_leporis	#08bb31	Aspergillus
Aspergillus_minisclerotigenes	#08bb31	Aspergillus
Aspergillus_mulundensis	#08bb31	Aspergillus
Aspergillus_nidulans	#08bb31	Aspergillus
Aspergillus_niger	#08bb31	Aspergillus
Aspergillus_nomiae	#08bb31	Aspergillus
Aspergillus_novofumigatus	#08bb31	Aspergillus
Aspergillus_novoparasiticus	#08bb31	Aspergillus
Aspergillus_oryzae	#08bb31	Aspergillus
Aspergillus_oryzae	#08bb31	Aspergillus
Aspergillus_parasiticus	#08bb31	Aspergillus
Aspergillus_parasiticus	#08bb31	Aspergillus
Aspergillus_pseudonomiae	#08bb31	Aspergillus
Aspergillus_pseudotamarii	#08bb31	Aspergillus
Aspergillus_puulaauensis	#08bb31	Aspergillus
Aspergillus_rambellii	#08bb31	Aspergillus
Aspergillus_ruber	#08bb31	Aspergillus
Aspergillus_saccharolyticus	#08bb31	Aspergillus
Aspergillus_sclerotialis	#08bb31	Aspergillus
Aspergillus_sclerotiicarbonarius	#08bb31	Aspergillus
Aspergillus_sclerotioniger	#08bb31	Aspergillus
Aspergillus_sp._HF37	#08bb31	Aspergillus
Aspergillus_steynii	#08bb31	Aspergillus
Aspergillus_sydowii	#08bb31	Aspergillus
Aspergillus_tamarii	#08bb31	Aspergillus
Aspergillus_tanneri	#08bb31	Aspergillus
Aspergillus_terreus	#08bb31	Aspergillus
Aspergillus_terreus	#08bb31	Aspergillus
Aspergillus_thermomutatus	#08bb31	Aspergillus
Aspergillus_tubingensis	#08bb31	Aspergillus
Aspergillus_turcosus	#08bb31	Aspergillus
Aspergillus_udagawae	#08bb31	Aspergillus
Aspergillus_uvarum	#08bb31	Aspergillus
Aspergillus_versicolor	#08bb31	Aspergillus
Aspergillus_violaceofuscus	#08bb31	Aspergillus
Aspergillus_welwitschiae	#08bb31	Aspergillus
Aspergillus_wentii	#08bb31	Aspergillus
Monascus_purpureus	#41fbc8	Monascus
Penicilliopsis_zonata	#c9d86b	Penicilliopsis
Penicillium_antarcticum	#25c6d0	Penicillium
Penicillium_arizonense	#25c6d0	Penicillium
Penicillium_brasilianum	#25c6d0	Penicillium
Penicillium_coprophilum	#25c6d0	Penicillium
Penicillium_crustosum	#25c6d0	Penicillium
Penicillium_decumbens	#25c6d0	Penicillium
Penicillium_digitatum	#25c6d0	Penicillium
Penicillium_expansum	#25c6d0	Penicillium
Penicillium_flavigenum	#25c6d0	Penicillium
Penicillium_freii	#25c6d0	Penicillium
Penicillium_griseofulvum	#25c6d0	Penicillium
Penicillium_italicum	#25c6d0	Penicillium
Penicillium_nalgiovense	#25c6d0	Penicillium
Penicillium_nordicum	#25c6d0	Penicillium
Penicillium_oxalicum	#25c6d0	Penicillium
Penicillium_polonicum	#25c6d0	Penicillium
Penicillium_rubens	#25c6d0	Penicillium
Penicillium_solitum	#25c6d0	Penicillium
Penicillium_sp._'occitanis'	#25c6d0	Penicillium
Penicillium_sp._RFL-2021a	#25c6d0	Penicillium
Penicillium_steckii	#25c6d0	Penicillium
Penicillium_subrubescens	#25c6d0	Penicillium
Penicillium_vulpinum	#25c6d0	Penicillium
Elaphomyces_granulatus	#471293	Elaphomyces
Paecilomyces_variotii	#b51524	Paecilomyces
Paecilomyces_variotii	#b51524	Paecilomyces
Rasamsonia_emersonii	#865178	Rasamsonia
Talaromyces_amestolkiae	#e6947a	Talaromyces
Talaromyces_atroroseus	#e6947a	Talaromyces
Talaromyces_islandicus	#e6947a	Talaromyces
Talaromyces_marneffei	#e6947a	Talaromyces
Talaromyces_rugulosus	#e6947a	Talaromyces
Talaromyces_stipitatus	#e6947a	Talaromyces
Blastomyces_gilchristii	#96eff9	Blastomyces
Blastomyces_parvus	#96eff9	Blastomyces
Blastomyces_percursus	#96eff9	Blastomyces
Blastomyces_silverae	#96eff9	Blastomyces
Emergomyces_africanus	#795e4a	Emergomyces
Emergomyces_pasteurianus	#795e4a	Emergomyces
Emmonsia_crescens	#e47527	Emmonsia
Helicocarpus_griseus	#f05315	Helicocarpus
Histoplasma_capsulatum	#6e20ab	Histoplasma
Histoplasma_capsulatum	#6e20ab	Histoplasma
Histoplasma_capsulatum	#6e20ab	Histoplasma
Histoplasma_capsulatum	#6e20ab	Histoplasma
Histoplasma_mississippiense_(nom._inval.)	#6e20ab	Histoplasma
Histoplasma_ohiense_(nom._inval.)	#6e20ab	Histoplasma
Polytolypa_hystricis	#0de507	Polytolypa
Microsporum_canis	#1be32a	Microsporum
Nannizzia_gypsea	#6b17da	Nannizzia
Trichophyton_benhamiae	#1d40e2	Trichophyton
Trichophyton_interdigitale	#1d40e2	Trichophyton
Trichophyton_interdigitale	#1d40e2	Trichophyton
Trichophyton_rubrum	#1d40e2	Trichophyton
Ascosphaera_apis	#949e4a	Ascosphaera
Paracoccidioides_brasiliensis	#1e5791	Paracoccidioides
Paracoccidioides_lutzii	#1e5791	Paracoccidioides
Coccidioides_immitis	#2df0d9	Coccidioides
