DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	genus-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#a2a78e	Pseudovirgaria
Fusarium_zealandicum	#6f5765	Fusarium
Ilyonectria_sp._MPI-CAGE-AT-0026	#1d6b7b	Ilyonectria
Neonectria_ditissima	#e3c658	Neonectria
Thelonectria_olida	#542bf1	Thelonectria
Drechmeria_coniospora	#7ab7f6	Drechmeria
Hirsutella_minnesotensis	#7631b1	Hirsutella
Hirsutella_rhossiliensis	#7631b1	Hirsutella
Ophiocordyceps_australis	#e98164	Ophiocordyceps
Ophiocordyceps_camponoti-floridani	#e98164	Ophiocordyceps
Ophiocordyceps_camponoti-leonardi_(nom._inval.)	#e98164	Ophiocordyceps
Ophiocordyceps_camponoti-rufipedis	#e98164	Ophiocordyceps
Ophiocordyceps_camponoti-saundersi_(nom._inval.)	#e98164	Ophiocordyceps
Ophiocordyceps_polyrhachis-furcata	#e98164	Ophiocordyceps
Ophiocordyceps_sinensis	#e98164	Ophiocordyceps
Ophiocordyceps_sinensis	#e98164	Ophiocordyceps
Ophiocordyceps_unilateralis	#e98164	Ophiocordyceps
Purpureocillium_lilacinum	#0f2cd3	Purpureocillium
Purpureocillium_takamizusanense	#0f2cd3	Purpureocillium
Tolypocladium_capitatum	#556e40	Tolypocladium
Tolypocladium_ophioglossoides	#556e40	Tolypocladium
Tolypocladium_paradoxum	#556e40	Tolypocladium
Stachybotrys_chlorohalonata	#4b33df	Stachybotrys
Stachybotrys_elegans	#4b33df	Stachybotrys
Gaeumannomyces_tritici	#1a61e1	Gaeumannomyces
Magnaporthiopsis_poae	#780726	Magnaporthiopsis
Pyricularia_grisea	#632a53	Pyricularia
Pyricularia_oryzae	#632a53	Pyricularia
Ceratocystis_fimbriata	#0525bb	Ceratocystis
Ceratocystis_platani	#0525bb	Ceratocystis
Thielaviopsis_punctulata	#54290f	Thielaviopsis
Lomentospora_prolificans	#a07035	Lomentospora
Parascedosporium_putredinis	#8e6799	Parascedosporium
Scedosporium_apiospermum	#92e755	Scedosporium
Wardomyces_moseri	#432920	Wardomyces
Thyridium_curvatum	#c010ac	Thyridium
Grosmannia_clavigera	#f9f660	Grosmannia
Ophiostoma_piceae	#cabbec	Ophiostoma
Sporothrix_insectorum	#c14215	Sporothrix
Sporothrix_schenckii	#c14215	Sporothrix
Chaetomium_globosum	#d58187	Chaetomium
Chaetomium_sp._MPI-SDFR-AT-0129	#d58187	Chaetomium
Chaetomium_thermophilum	#d58187	Chaetomium
Thermothelomyces_thermophilus	#fbe866	Thermothelomyces
Thermothielavioides_terrestris	#880619	Thermothielavioides
Madurella_mycetomatis	#ee2410	Madurella
Podospora_anserina	#909f73	Podospora
Neurospora_crassa	#ef9225	Neurospora
Neurospora_tetrasperma	#ef9225	Neurospora
Sordaria_macrospora	#7b92ec	Sordaria
Phaeoacremonium_minimum	#a5d811	Phaeoacremonium
Eutypa_lata	#a08966	Eutypa
Daldinia_sp._EC12	#d7b72e	Daldinia
Hypoxylon_sp._CI-4A	#f7b820	Hypoxylon
Hypoxylon_sp._CO27-5	#f7b820	Hypoxylon
Microdochium_bolleyi	#28cdbc	Microdochium
Microdochium_trichocladiopsis	#28cdbc	Microdochium
Monosporascus_ibericus	#59aa5b	Monosporascus
Monosporascus_sp._5C6A	#59aa5b	Monosporascus
Monosporascus_sp._CRB-8-3	#59aa5b	Monosporascus
Monosporascus_sp._CRB-9-2	#59aa5b	Monosporascus
Monosporascus_sp._GIB2	#59aa5b	Monosporascus
Monosporascus_sp._MC13-8B	#59aa5b	Monosporascus
Monosporascus_sp._MG133	#59aa5b	Monosporascus
Monosporascus_sp._mg162	#59aa5b	Monosporascus
Pseudomassariella_vexata	#daa4ae	Pseudomassariella
Pestalotiopsis_fici	#542b23	Pestalotiopsis
Truncatella_angustata	#2b116a	Truncatella
Rosellinia_necatrix	#1a8fe8	Rosellinia
Xylaria_flabelliformis	#fad457	Xylaria
Xylaria_grammica	#fad457	Xylaria
Xylaria_hypoxylon	#fad457	Xylaria
Xylaria_multiplex	#fad457	Xylaria
Agaricus_bisporus	#22a3d4	Agaricus
Agaricus_bisporus	#22a3d4	Agaricus
Leucoagaricus_leucothites	#f0154a	Leucoagaricus
Leucoagaricus_sp._SymC.cos	#f0154a	Leucoagaricus
Macrolepiota_fuliginosa	#0bd304	Macrolepiota
Amanita_muscaria	#511b9f	Amanita
Amanita_thiersii	#511b9f	Amanita
Cyclocybe_aegerita	#681091	Cyclocybe
Panaeolus_cyanescens	#f1b713	Panaeolus
Gymnopilus_dilepis	#92b8d9	Gymnopilus
Gymnopilus_junonius	#92b8d9	Gymnopilus
Hebeloma_cylindrosporum	#91ecc9	Hebeloma
Crepidotus_variabilis	#0e4a74	Crepidotus
Fistulina_hepatica	#cb9fed	Fistulina
Asterophora_parasitica	#7d3316	Asterophora
Hypsizygus_marmoreus	#e6633b	Hypsizygus
Lyophyllum_shimeji	#131ad2	Lyophyllum
Sphagnurus_paluster	#cbd4f2	Sphagnurus
Termitomyces_sp._J132	#cf848a	Termitomyces
Tricholomella_constricta	#cb45dc	Tricholomella
Marasmius_oreades	#f8a207	Marasmius
Moniliophthora_perniciosa	#f25955	Moniliophthora
Moniliophthora_roreri	#f25955	Moniliophthora
Moniliophthora_roreri	#f25955	Moniliophthora
Tetrapyrgos_nigripes	#7e0a79	Tetrapyrgos
Mycena_chlorophos	#6e760b	Mycena
Mycena_indigotica	#6e760b	Mycena
Mycena_kentingensis_(nom._inval.)	#6e760b	Mycena
Mycena_sanguinolenta	#6e760b	Mycena
Mycena_venus	#6e760b	Mycena
Crucibulum_laeve	#fe85bf	Crucibulum
Dendrothele_bispora	#2550a3	Dendrothele
Lepista_nuda	#8b0f11	Lepista
Collybiopsis_confluens	#23b659	Collybiopsis
Gymnopus_androsaceus	#d0e9cd	Gymnopus
Gymnopus_luxurians	#d0e9cd	Gymnopus
Lentinula_edodes	#04f1a7	Lentinula
Rhodocollybia_butyracea	#423ca5	Rhodocollybia
Armillaria_gallica	#24e040	Armillaria
Armillaria_ostoyae	#24e040	Armillaria
Armillaria_solidipes	#24e040	Armillaria
Cylindrobasidium_torrendii	#488dae	Cylindrobasidium
Guyanagaster_necrorhizus	#c92eb8	Guyanagaster
Pleurotus_eryngii	#2a488e	Pleurotus
Pleurotus_ostreatus	#2a488e	Pleurotus
Pleurotus_ostreatus	#2a488e	Pleurotus
Candolleomyces_aberdarensis	#748086	Candolleomyces
Coprinellus_micaceus	#2f965d	Coprinellus
Coprinopsis_cinerea	#1f5f03	Coprinopsis
Coprinopsis_marcescibilis	#1f5f03	Coprinopsis
Tulosesus_angulatus	#7d0e68	Tulosesus
Pterula_gracilis	#a5004f	Pterula
Auriculariopsis_ampla	#c90108	Auriculariopsis
Schizophyllum_commune	#03d411	Schizophyllum
Agrocybe_pediades	#e53e4a	Agrocybe
Galerina_marginata	#8fb7b5	Galerina
Hypholoma_sublateritium	#d1b04c	Hypholoma
Pholiota_conissans	#de55e5	Pholiota
Psilocybe_cf._subviscida	#4dfa0d	Psilocybe
Psilocybe_cubensis	#4dfa0d	Psilocybe
Psilocybe_cyanescens	#4dfa0d	Psilocybe
Laccaria_amethystina	#ffb34b	Laccaria
Laccaria_bicolor	#ffb34b	Laccaria
Plicaturopsis_crispa	#0a3f71	Plicaturopsis
Athelia_sp._TMB	#64b0ab	Athelia
Fibularhizoctonia_sp._CBS_109695	#13b7c6	Fibularhizoctonia
Piloderma_croceum	#c55035	Piloderma
Auricularia_subglabra	#2e6c43	Auricularia
Exidia_glandulosa	#686ced	Exidia
Auriculariales_sp._MPI-PUGE-AT-0066	#0c4206	nan
Boletus_reticuloceps	#137c49	Boletus
Phlebopus_sp._FC_14	#e333fd	Phlebopus
Coniophora_puteana	#aa0b1d	Coniophora
Hydnomerulius_pinastri	#455147	Hydnomerulius
Paxillus_involutus	#9c6184	Paxillus
Paxillus_rubicundulus	#9c6184	Paxillus
Pisolithus_microcarpus	#e4333c	Pisolithus
Pisolithus_tinctorius	#e4333c	Pisolithus
Rhizopogon_vesiculosus	#152fba	Rhizopogon
Rhizopogon_vinicolor	#152fba	Rhizopogon
Scleroderma_citrinum	#466c80	Scleroderma
Serpula_lacrymans	#e70535	Serpula
Suillus_discolor	#c23f4b	Suillus
Suillus_luteus	#c23f4b	Suillus
Suillus_placidus	#c23f4b	Suillus
Suillus_plorans	#c23f4b	Suillus
Suillus_subaureus	#c23f4b	Suillus
Botryobasidium_botryosum	#f34f90	Botryobasidium
Ceratobasidium_sp._AG-Ba	#311704	Ceratobasidium
Ceratobasidium_theobromae	#311704	Ceratobasidium
Rhizoctonia_solani	#8df0cc	Rhizoctonia
Rhizoctonia_solani	#8df0cc	Rhizoctonia
Rhizoctonia_solani	#8df0cc	Rhizoctonia
Rhizoctonia_solani	#8df0cc	Rhizoctonia
Rhizoctonia_solani	#8df0cc	Rhizoctonia
Clavulina_sp._PMI_390	#2ba678	Clavulina
Hydnum_rufescens	#f0bc36	Hydnum
Tulasnella_sp._JGI-2019a	#0c4206	nan
Tulasnella_calospora	#cb89e6	Tulasnella
Sphaerobolus_stellatus	#91c380	Sphaerobolus
Gloeophyllum_trabeum	#d0b7bf	Gloeophyllum
Neolentinus_lepideus	#ff38c2	Neolentinus
Heliocybe_sulcata	#a87ad4	Heliocybe
Pyrrhoderma_noxium	#fb3c15	Pyrrhoderma
Sanghuangporus_baumii	#932ad6	Sanghuangporus
Schizopora_paradoxa	#29852a	Schizopora
Jaapia_argillacea	#9d60be	Jaapia
Postia_placenta	#32a1da	Postia
Postia_placenta	#32a1da	Postia
Daedalea_quercina	#acc45a	Daedalea
Fomitopsis_rosea	#c80be3	Fomitopsis
Fomitopsis_schrenkii	#c80be3	Fomitopsis
Gelatoporia_subvermispora	#eed480	Gelatoporia
Obba_rivulosa	#1b6e4e	Obba
Grifola_frondosa	#b30bda	Grifola
Laetiporus_sulphureus	#57cede	Laetiporus
Wolfiporia_cocos	#4c1020	Wolfiporia
Hermanssonia_centrifuga	#098953	Hermanssonia
Fibroporia_radiculosa	#f08345	Fibroporia
Phanerochaete_carnosa	#a0af98	Phanerochaete
Phanerochaete_sordida	#a0af98	Phanerochaete
Phlebiopsis_gigantea	#b04ec0	Phlebiopsis
Dichomitus_squalens	#823d5d	Dichomitus
Ganoderma_sinense	#e1d237	Ganoderma
Lentinus_tigrinus	#a2e0cc	Lentinus
Polyporus_arcularius	#564d06	Polyporus
Polyporus_brumalis	#564d06	Polyporus
Trametes_cinnabarina	#b1bb66	Trametes
Trametes_coccinea	#b1bb66	Trametes
Trametes_pubescens	#b1bb66	Trametes
Antrodiella_citrinella	#a05f10	Antrodiella
Bondarzewia_mesenterica	#884cf2	Bondarzewia
Heterobasidion_irregulare	#40a6b3	Heterobasidion
Dentipellis_fragilis	#a47c2e	Dentipellis
Dentipellis_sp._KUC8613	#a47c2e	Dentipellis
Hericium_alpestre	#49af8c	Hericium
Peniophora_sp._CBMAI_1063	#63c4d5	Peniophora
Peniophora_sp._CONT	#63c4d5	Peniophora
Russula_ochroleuca	#039916	Russula
Serendipita_indica	#76ebec	Serendipita
Serendipita_vermifera	#76ebec	Serendipita
Thelephora_terrestris	#ef01db	Thelephora
Sistotremastrum_niveocremeum	#b330d4	Sistotremastrum
Sistotremastrum_suecicum	#b330d4	Sistotremastrum
Calocera_cornea	#31036b	Calocera
Calocera_viscosa	#31036b	Calocera
Dacryopinax_primogenitus	#5382f7	Dacryopinax
Meira_miltonrushii	#7749da	Meira
Acaromyces_ingoldii	#7a5f9a	Acaromyces
Tilletia_controversa	#244332	Tilletia
Tilletia_indica	#244332	Tilletia
Tilletia_walkeri	#244332	Tilletia
Cronartium_quercuum	#e8f99d	Cronartium
Melampsora_larici-populina	#4b05ac	Melampsora
Puccinia_coronata	#3bfa45	Puccinia
Puccinia_graminis	#3bfa45	Puccinia
Puccinia_graminis	#3bfa45	Puccinia
Puccinia_sorghi	#3bfa45	Puccinia
Puccinia_striiformis	#3bfa45	Puccinia
Puccinia_striiformis	#3bfa45	Puccinia
Puccinia_triticina	#3bfa45	Puccinia
Austropuccinia_psidii	#a90609	Austropuccinia
Testicularia_cyperi	#a5a813	Testicularia
Kalmanozyma_brasiliensis	#298605	Kalmanozyma
Moesziomyces_antarcticus	#224e8a	Moesziomyces
Moesziomyces_antarcticus	#224e8a	Moesziomyces
Pseudozyma_flocculosa	#5fb97b	Pseudozyma
Pseudozyma_hubeiensis	#5fb97b	Pseudozyma
Ustilago_bromivora	#6d4e54	Ustilago
Ustilago_maydis	#6d4e54	Ustilago
Ustilago_trichophora	#6d4e54	Ustilago
Wallemia_hederae	#9c1a8d	Wallemia
Wallemia_ichthyophaga	#9c1a8d	Wallemia
Wallemia_ichthyophaga	#9c1a8d	Wallemia
Wallemia_mellicola	#9c1a8d	Wallemia
Wallemia_mellicola	#9c1a8d	Wallemia
Allomyces_macrogynus	#329f5a	Allomyces
Catenaria_anguillulae	#059659	Catenaria
Caulochytrium_protostelioides	#d7e332	Caulochytrium
Chytriomyces_confervae	#913050	Chytriomyces
Rhizoclosmatium_globosum	#8b067d	Rhizoclosmatium
Blyttiomyces_helicus	#4f88af	Blyttiomyces
Batrachochytrium_dendrobatidis	#5f50cc	Batrachochytrium
Batrachochytrium_dendrobatidis	#5f50cc	Batrachochytrium
Batrachochytrium_salamandrivorans	#5f50cc	Batrachochytrium
Powellomyces_hirtus	#68e5d3	Powellomyces
Spizellomyces_punctatus	#692627	Spizellomyces
Paramicrosporidium_saccamoebae	#84fa02	Paramicrosporidium
Rozella_allomycis	#458a5f	Rozella
Edhazardia_aedis	#74272c	Edhazardia
Hamiltosporidium_magnivora	#d90bb1	Hamiltosporidium
Hamiltosporidium_tvaerminnensis	#d90bb1	Hamiltosporidium
Mitosporidium_daphniae	#d700d2	Mitosporidium
Nematocida_ausubeli	#5cf75c	Nematocida
Nematocida_parisii	#5cf75c	Nematocida
Pseudoloma_neurophilia	#3b3f06	Pseudoloma
Nosema_apis	#184fe6	Nosema
Nosema_bombycis	#184fe6	Nosema
Nosema_ceranae	#184fe6	Nosema
Nosema_ceranae	#184fe6	Nosema
Nosema_granulosis	#184fe6	Nosema
Trachipleistophora_hominis	#9df645	Trachipleistophora
Vavraia_culicis	#93384f	Vavraia
Spraguea_lophii	#8cbb23	Spraguea
Anncaliia_algerae	#fe760b	Anncaliia
Anncaliia_algerae	#fe760b	Anncaliia
Tubulinosema_ratisbonensis	#ea0bbc	Tubulinosema
Endogone_sp._FLAS-F59071	#8c686f	Endogone
Diversispora_epigaea	#169c29	Diversispora
Cetraspora_pellucida	#675899	Cetraspora
Dentiscutata_erythropus	#e30f0c	Dentiscutata
Gigaspora_margarita	#fe5700	Gigaspora
Gigaspora_rosea	#fe5700	Gigaspora
Racocetra_fulgida	#8e446d	Racocetra
Funneliformis_caledonium	#aeccaa	Funneliformis
Funneliformis_mosseae	#aeccaa	Funneliformis
Glomus_cerebriforme	#25761a	Glomus
Rhizophagus_clarus	#707813	Rhizophagus
Rhizophagus_irregularis	#707813	Rhizophagus
Rhizophagus_irregularis	#707813	Rhizophagus
Paraglomus_brasilianum	#39d7fe	Paraglomus
Dissophora_globulifera	#a9044e	Dissophora
Entomortierella_chlamydospora	#c3a062	Entomortierella
Linnemannia_gamsii	#207d40	Linnemannia
Modicella_reniformis	#b4b49f	Modicella
Mortierella_hygrophila	#7389b6	Mortierella
Mortierella_sp._AD011	#7389b6	Mortierella
Mortierella_sp._AD032	#7389b6	Mortierella
Mortierella_sp._NVP85	#7389b6	Mortierella
fungal_sp._No.11243	#0c4206	nan
fungal_sp._No.14919	#0c4206	nan
Basidiobolus_meristosporus	#12f113	Basidiobolus
Dimargaris_cristalligena	#aec4c5	Dimargaris
Conidiobolus_coronatus	#f780f8	Conidiobolus
Furculomyces_boomerangus	#4f8088	Furculomyces
Smittium_culicis	#baf990	Smittium
Smittium_megazygosporum	#baf990	Smittium
Smittium_mucronatum	#baf990	Smittium
Smittium_simulii	#baf990	Smittium
Zancudomyces_culisetae	#cea6dc	Zancudomyces
Coemansia_reversa	#d05e49	Coemansia
Linderina_pennispora	#6c0af2	Linderina
Piptocephalis_cylindrospora	#a5cfd8	Piptocephalis
Syncephalis_pseudoplumigaleata	#f872ce	Syncephalis
Thamnocephalis_sphaerospora	#78c3f9	Thamnocephalis
Helobdella_robusta	#4c6628	Helobdella
Capitella_teleta	#9a7478	Capitella
Owenia_fusiformis	#e8f8db	Owenia
Araneus_ventricosus	#600d8f	Araneus
Stegodyphus_mimosarum	#070ed9	Stegodyphus
Nephila_pilipes	#6e25d9	Nephila
Trichonephila_clavata	#693432	Trichonephila
Trichonephila_inaurata	#693432	Trichonephila
Medioppia_subpectinata	#b0432b	Medioppia
Oppiella_nova	#5b9ed1	Oppiella
Tetranychus_urticae	#ea783f	Tetranychus
Dinothrombium_tinctorium	#19c5e4	Dinothrombium
Ladona_fulva	#f62e42	Ladona
Lingula_anatina	#5bd9da	Lingula
Bugula_neritina	#e602dd	Bugula
Acipenser_ruthenus	#656056	Acipenser
Albula_glossodonta	#5af6ce	Albula
Albula_goreensis	#5af6ce	Albula
Anabas_testudineus	#a2fde0	Anabas
Channa_argus	#158b44	Channa
Betta_splendens	#1064ee	Betta
Anguilla_anguilla	#3fa884	Anguilla
Conger_conger	#620b64	Conger
Synaphobranchus_kaupii	#33da2f	Synaphobranchus
Menidia_menidia	#6e1a4a	Menidia
Oryzias_javanicus	#4c4799	Oryzias
Oryzias_latipes	#4c4799	Oryzias
Oryzias_melastigma	#4c4799	Oryzias
Oryzias_sinensis	#4c4799	Oryzias
Salarias_fasciatus	#bf45b7	Salarias
Gouania_willdenowi	#44436d	Gouania
Echeneis_naucrates	#65220a	Echeneis
Astyanax_mexicanus	#539fd1	Astyanax
Haplochromis_burtoni	#484c55	Haplochromis
Maylandia_zebra	#ebf381	Maylandia
Neolamprologus_brichardi	#51f598	Neolamprologus
Oreochromis_aureus	#38d222	Oreochromis
Oreochromis_niloticus	#38d222	Oreochromis
Pundamilia_nyererei	#0af8c5	Pundamilia
Clupea_harengus	#e617cd	Clupea
Denticeps_clupeoides	#e15c11	Denticeps
Carassius_auratus	#176cd0	Carassius
Cyprinus_carpio	#1f00c5	Cyprinus
Cyprinus_carpio	#1f00c5	Cyprinus
Labeo_rohita	#29db3a	Labeo
Onychostoma_macrolepis	#3f8abe	Onychostoma
Sinocyclocheilus_anshuiensis	#54ee2e	Sinocyclocheilus
Sinocyclocheilus_grahami	#54ee2e	Sinocyclocheilus
Sinocyclocheilus_rhinocerous	#54ee2e	Sinocyclocheilus
Danio_rerio	#6ac978	Danio
Danionella_translucida	#e18447	Danionella
Triplophysa_tibetana	#789c32	Triplophysa
Anabarilius_grahami	#f278e5	Anabarilius
Cyprinodon_variegatus	#8a1863	Cyprinodon
Nothobranchius_furzeri	#750de9	Nothobranchius
Gambusia_affinis	#0f078a	Gambusia
Poecilia_formosa	#dcc962	Poecilia
Poecilia_reticulata	#dcc962	Poecilia
Xiphophorus_maculatus	#c1ddfb	Xiphophorus
Austrofundulus_limnaeus	#f6c000	Austrofundulus
Kryptolebias_marmoratus	#bded14	Kryptolebias
Megalops_atlanticus	#a38fbc	Megalops
Esox_lucius	#e57a17	Esox
Gadus_morhua	#e7b30d	Gadus
Muraenolepis_orangiensis	#75d160	Muraenolepis
Neogobius_melanostomus	#ffa7bd	Neogobius
Chanos_chanos	#83c2d2	Chanos
Electrophorus_electricus	#3fafee	Electrophorus
Myripristis_murdjan	#461df3	Myripristis
Sphaeramia_orbicularis	#4058c1	Sphaeramia
Labrus_bergylta	#810a72	Labrus
Parambassis_ranga	#49af7c	Parambassis
Lates_calcarifer	#e4fe06	Lates
Dicentrarchus_labrax	#4a8893	Dicentrarchus
Acanthochromis_polyacanthus	#13214a	Acanthochromis
Amphiprion_ocellaris	#56d094	Amphiprion
Amphiprion_percula	#56d094	Amphiprion
Stegastes_partitus	#876439	Stegastes
Collichthys_lucidus	#8b54e8	Collichthys
Larimichthys_crocea	#d6d195	Larimichthys
Scleropages_formosus	#7767b9	Scleropages
Gymnodraco_acuticeps	#e32ab7	Gymnodraco
Cottoperca_gobio	#ab32dc	Cottoperca
Cyclopterus_lumpus	#811496	Cyclopterus
Gasterosteus_aculeatus	#cacc09	Gasterosteus
Liparis_tanakae	#774f9d	Liparis
Dissostichus_mawsoni	#6f8c5d	Dissostichus
Notothenia_coriiceps	#58ce89	Notothenia
Etheostoma_spectabile	#65ff51	Etheostoma
Perca_flavescens	#3776bd	Perca
Perca_fluviatilis	#3776bd	Perca
Sander_lucioperca	#b3fd80	Sander
Cynoglossus_semilaevis	#d0a0b2	Cynoglossus
Pleuronectes_platessa	#9c81a4	Pleuronectes
Scophthalmus_maximus	#2d4e24	Scophthalmus
Coregonus_sp._'balchen'	#5905ce	Coregonus
Hucho_hucho	#b9dbe6	Hucho
Oncorhynchus_kisutch	#14cf41	Oncorhynchus
Oncorhynchus_mykiss	#14cf41	Oncorhynchus
Oncorhynchus_tshawytscha	#14cf41	Oncorhynchus
Salmo_salar	#2ffc44	Salmo
Salmo_trutta	#2ffc44	Salmo
Salvelinus_namaycush	#aba4fe	Salvelinus
Atractosteus_spatula	#bcc9bb	Atractosteus
Lepisosteus_oculatus	#20d7b3	Lepisosteus
Hemibagrus_wyckioides	#58ba59	Hemibagrus
Clarias_magur	#aa9394	Clarias
Ameiurus_melas	#b50f0c	Ameiurus
Pangasianodon_hypophthalmus	#624358	Pangasianodon
Silurus_meridionalis	#75f2cc	Silurus
Bagarius_yarrelli	#afcbb9	Bagarius
Sparus_aurata	#e0ff80	Sparus
Mastacembelus_armatus	#95ed71	Mastacembelus
Mola_mola	#3ff046	Mola
Takifugu_bimaculatus	#82185f	Takifugu
Takifugu_flavidus	#82185f	Takifugu
Takifugu_rubripes	#82185f	Takifugu
Tetraodon_nigroviridis	#fe54ac	Tetraodon
Eleutherodactylus_coqui	#8bb9ad	Eleutherodactylus
Leptobrachium_leishanense	#72070d	Leptobrachium
Hymenochirus_boettgeri	#3215ce	Hymenochirus
Xenopus_laevis	#c3ce43	Xenopus
Xenopus_tropicalis	#c3ce43	Xenopus
Lithobates_catesbeianus	#6d0f93	Lithobates
Geotrypetes_seraphini	#329793	Geotrypetes
Microcaecilia_unicolor	#514bb5	Microcaecilia
Ciona_intestinalis	#26af41	Ciona
Ciona_savignyi	#26af41	Ciona
Accipiter_nisus	#f9fe26	Accipiter
Aquila_chrysaetos	#919151	Aquila
Buteo_japonicus	#134122	Buteo
Circaetus_pectoralis	#d045a1	Circaetus
Haliaeetus_albicilla	#bd86c3	Haliaeetus
Spizaetus_tyrannus	#e2d857	Spizaetus
Cathartes_aura	#2f22f7	Cathartes
Pandion_haliaetus	#605858	Pandion
Sagittarius_serpentarius	#fb87c8	Sagittarius
Anas_platyrhynchos	#7a00d0	Anas
Anas_platyrhynchos	#7a00d0	Anas
Anas_zonorhyncha	#7a00d0	Anas
Anser_brachyrhynchus	#1b271c	Anser
Anser_cygnoides	#1b271c	Anser
Asarcornis_scutulata	#5dbd2f	Asarcornis
Aythya_fuligula	#6b209a	Aythya
Cairina_moschata	#5c5afa	Cairina
Chauna_torquata	#482772	Chauna
Anseranas_semipalmata	#b02641	Anseranas
Hemiprocne_comata	#7f9239	Hemiprocne
Calypte_anna	#1c2351	Calypte
Oreotrochilus_melanogaster	#7ce13e	Oreotrochilus
Apteryx_mantelli	#ce8ef0	Apteryx
Apteryx_owenii	#ce8ef0	Apteryx
Buceros_rhinoceros	#9a45c6	Buceros
Bucorvus_abyssinicus	#dc00d8	Bucorvus
Aegotheles_bennettii	#d79a71	Aegotheles
Antrostomus_carolinensis	#a8d1ec	Antrostomus
Chordeiles_acutipennis	#dc3a0a	Chordeiles
Nyctiprogne_leucopyga	#7329bd	Nyctiprogne
Nyctibius_bracteatus	#8dab6f	Nyctibius
Nyctibius_grandis	#8dab6f	Nyctibius
Podargus_strigoides	#a63b5d	Podargus
Steatornis_caripensis	#f287a7	Steatornis
Cariama_cristata	#7319f9	Cariama
Chunga_burmeisteri	#a9c55b	Chunga
Dromaius_novaehollandiae	#cafdc0	Dromaius
Alca_torda	#93a7ac	Alca
Cepphus_grylle	#c11645	Cepphus
Burhinus_bistriatus	#5a56ea	Burhinus
Charadrius_vociferus	#56cd32	Charadrius
Ibidorhyncha_struthersii	#b64c4d	Ibidorhyncha
Pluvianellus_socialis	#0e9f6b	Pluvianellus
Chionis_minor	#72332e	Chionis
Dromas_ardeola	#5e25ce	Dromas
Glareola_pratincola	#3893f2	Glareola
Rhinoptilus_africanus	#6627ba	Rhinoptilus
Jacana_jacana	#c73693	Jacana
Larus_smithsonianus	#336414	Larus
Phaetusa_simplex	#2ebfc0	Phaetusa
Rissa_tridactyla	#99ec16	Rissa
Rynchops_niger	#71b265	Rynchops
Pedionomus_torquatus	#3f948d	Pedionomus
Himantopus_himantopus	#937cd3	Himantopus
Nycticryphes_semicollaris	#8ce193	Nycticryphes
Rostratula_benghalensis	#b000c5	Rostratula
Arenaria_interpres	#14895c	Arenaria
Calidris_pygmaea	#3119bb	Calidris
Limosa_lapponica	#dbd3f2	Limosa
Stercorarius_parasiticus	#ac5552	Stercorarius
Turnix_velox	#603667	Turnix
Balaeniceps_rex	#a25a6f	Balaeniceps
Ciconia_maguari	#59fe52	Ciconia
Pterocles_burchelli	#4502f0	Pterocles
Pterocles_gutturalis	#4502f0	Pterocles
Syrrhaptes_paradoxus	#0066e3	Syrrhaptes
Scopus_umbretta	#26fdbe	Scopus
Thinocorus_orbignyianus	#c3a404	Thinocorus
Colius_striatus	#1377b0	Colius
Urocolius_indicus	#ca1fd8	Urocolius
Alopecoenas_beccarii	#5ed273	Alopecoenas
Caloenas_nicobarica	#3f68e5	Caloenas
Columba_livia	#d08b38	Columba
Columbina_picui	#b56b42	Columbina
Patagioenas_fasciata	#7c64a4	Patagioenas
Ceyx_cyanopectus	#4ea124	Ceyx
Halcyon_senegalensis	#c9551e	Halcyon
Brachypteracias_leptosomus	#ec3d45	Brachypteracias
Chloroceryle_aenea	#143187	Chloroceryle
Eurystomus_gularis	#2c6c27	Eurystomus
Leptosomus_discolor	#1b7aaf	Leptosomus
Merops_nubicus	#778861	Merops
Baryphthengus_martii	#779d3c	Baryphthengus
Todus_mexicanus	#acb6c6	Todus
Centropus_unirufus	#f4a1fb	Centropus
Piaya_cayana	#da7469	Piaya
Crotophaga_sulcirostris	#16b028	Crotophaga
Ceuthmochares_aereus	#17caf6	Ceuthmochares
Cuculus_canorus	#c1e87f	Cuculus
Geococcyx_californianus	#7761df	Geococcyx
Falco_tinnunculus	#d1e257	Falco
Herpetotheres_cachinnans	#69c575	Herpetotheres
Bucco_capensis	#c30c7f	Bucco
Galbula_dea	#d512ae	Galbula
Penelope_pileata	#af9e00	Penelope
Alectura_lathami	#696e31	Alectura
Callipepla_squamata	#ab46c6	Callipepla
Odontophorus_gujanensis	#416698	Odontophorus
Bambusicola_thoracicus	#37e02c	Bambusicola
Chrysolophus_pictus	#82e202	Chrysolophus
Coturnix_japonica	#7bf609	Coturnix
Gallus_gallus	#c260ca	Gallus
Meleagris_gallopavo	#75b59b	Meleagris
Pavo_cristatus	#c64a31	Pavo
Phasianus_colchicus	#9be47f	Phasianus
Gavia_stellata	#a8b513	Gavia
Aramus_guarauna	#2fa4d4	Aramus
Eurypyga_helias	#c81889	Eurypyga
Balearica_regulorum	#a5080b	Balearica
Grus_americana	#d269a0	Grus
Heliornis_fulica	#14f7a8	Heliornis
Mesitornis_unicolor	#1fd2c6	Mesitornis
Ardeotis_kori	#f3427f	Ardeotis
