DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	order
COLOR	#ff0000
DATA
Venturia_inaequalis	#fab88a	Venturiales
Fimbriimonas_ginsengisoli	#1d9605	Fimbriimonadales
Fragilariopsis_cylindrus	#3b63b4	Bacillariales
Thalassiosira_oceanica	#19fbce	Thalassiosirales
Chitinophaga_japonensis	#5ab48c	Chitinophagales
Echinicola_pacifica	#f24909	Cytophagales
Haliscomenobacter_hydrossis	#7fb137	Saprospirales
Mucilaginibacter_frigoritolerans	#4c5b19	Sphingobacteriales
Ktedonospora_formicarum	#adc6fd	Ktedonobacterales
Pseudocohnilembus_persalinus	#a01d48	Philasterida
Stylonychia_lemnae	#289643	Sporadotrichida
Deinococcus_yavapaiensis	#e1b249	Deinococcales
Plasmodiophora_brassicae	#34ada3	Plasmodiophorida
Peribacillus_psychrosaccharolyticus	#16b7f8	Bacillales
Sporotomaculum_syntrophicum	#64903b	Eubacteriales
Longimicrobium_terrae	#d12390	Longimicrobiales
Hondaea_fermentalgiana	#f1789c	Thraustochytrida
Salpingoeca_rosetta	#5adec4	Craspedida
Polarella_glacialis	#2721b5	Suessiales
Nannochloropsis_gaditana	#216678	Eustigmatales
Sphaeroforma_arctica	#e2f502	Ichthyophonida
Aureococcus_anophagefferens	#38c2ee	Pelagomonadales
Ectocarpus_siliculosus	#30fc47	Ectocarpales
Tribonema_minus	#8b505c	Tribonematales
Singulisphaera_acidiphila	#7f8ba6	Isosphaerales
Galdieria_sulphuraria	#1e7d0a	Cyanidiales
Gracilariopsis_chorda	#afdd3a	Gracilariales
Nitrososphaeraceae_archaeon	#280628	Nitrososphaerales
Brevifollis_gellanilyticus	#db8a16	Verrucomicrobiales
Chlorella_variabilis	#cbb032	Chlorellales
Chara_braunii	#74babf	Charales
Klebsormidium_nitens	#140570	Klebsormidiales
Marchantia_polymorpha	#48fb4a	Marchantiales
Adiantum_capillus-veneris	#f7cb3e	Polypodiales
