DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	order-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#ff91ad	Acrospermales
Fusarium_subglutinans	#ec48a8	Hypocreales
Fusarium_tricinctum	#ec48a8	Hypocreales
Fusarium_vanettenii	#ec48a8	Hypocreales
Fusarium_venenatum	#ec48a8	Hypocreales
Fusarium_verticillioides	#ec48a8	Hypocreales
Fusarium_xylarioides	#ec48a8	Hypocreales
Fusarium_zealandicum	#ec48a8	Hypocreales
Ilyonectria_sp._MPI-CAGE-AT-0026	#ec48a8	Hypocreales
Neonectria_ditissima	#ec48a8	Hypocreales
Thelonectria_olida	#ec48a8	Hypocreales
Drechmeria_coniospora	#ec48a8	Hypocreales
Hirsutella_minnesotensis	#ec48a8	Hypocreales
Hirsutella_rhossiliensis	#ec48a8	Hypocreales
Ophiocordyceps_australis	#ec48a8	Hypocreales
Ophiocordyceps_camponoti-floridani	#ec48a8	Hypocreales
Ophiocordyceps_camponoti-leonardi_(nom._inval.)	#ec48a8	Hypocreales
Ophiocordyceps_camponoti-rufipedis	#ec48a8	Hypocreales
Ophiocordyceps_camponoti-saundersi_(nom._inval.)	#ec48a8	Hypocreales
Ophiocordyceps_polyrhachis-furcata	#ec48a8	Hypocreales
Ophiocordyceps_sinensis	#ec48a8	Hypocreales
Ophiocordyceps_sinensis	#ec48a8	Hypocreales
Ophiocordyceps_unilateralis	#ec48a8	Hypocreales
Purpureocillium_lilacinum	#ec48a8	Hypocreales
Purpureocillium_takamizusanense	#ec48a8	Hypocreales
Tolypocladium_capitatum	#ec48a8	Hypocreales
Tolypocladium_ophioglossoides	#ec48a8	Hypocreales
Tolypocladium_paradoxum	#ec48a8	Hypocreales
Stachybotrys_chlorohalonata	#ec48a8	Hypocreales
Stachybotrys_elegans	#ec48a8	Hypocreales
Gaeumannomyces_tritici	#6458f6	Magnaporthales
Magnaporthiopsis_poae	#6458f6	Magnaporthales
Pyricularia_grisea	#6458f6	Magnaporthales
Pyricularia_oryzae	#6458f6	Magnaporthales
Ceratocystis_fimbriata	#c82c6c	Microascales
Ceratocystis_platani	#c82c6c	Microascales
Thielaviopsis_punctulata	#c82c6c	Microascales
Lomentospora_prolificans	#c82c6c	Microascales
Parascedosporium_putredinis	#c82c6c	Microascales
Scedosporium_apiospermum	#c82c6c	Microascales
Wardomyces_moseri	#c82c6c	Microascales
Thyridium_curvatum	#9c00a8	nan
Grosmannia_clavigera	#9a48b7	Ophiostomatales
Ophiostoma_piceae	#9a48b7	Ophiostomatales
Sporothrix_insectorum	#9a48b7	Ophiostomatales
Sporothrix_schenckii	#9a48b7	Ophiostomatales
Chaetomium_globosum	#9221e9	Sordariales
Chaetomium_sp._MPI-SDFR-AT-0129	#9221e9	Sordariales
Chaetomium_thermophilum	#9221e9	Sordariales
Thermothelomyces_thermophilus	#9221e9	Sordariales
Thermothielavioides_terrestris	#9221e9	Sordariales
Madurella_mycetomatis	#9221e9	Sordariales
Podospora_anserina	#9221e9	Sordariales
Neurospora_crassa	#9221e9	Sordariales
Neurospora_tetrasperma	#9221e9	Sordariales
Sordaria_macrospora	#9221e9	Sordariales
Phaeoacremonium_minimum	#e0b1ba	Togniniales
Eutypa_lata	#121022	Xylariales
Daldinia_sp._EC12	#121022	Xylariales
Hypoxylon_sp._CI-4A	#121022	Xylariales
Hypoxylon_sp._CO27-5	#121022	Xylariales
Microdochium_bolleyi	#121022	Xylariales
Microdochium_trichocladiopsis	#121022	Xylariales
Monosporascus_ibericus	#121022	Xylariales
Monosporascus_sp._5C6A	#121022	Xylariales
Monosporascus_sp._CRB-8-3	#121022	Xylariales
Monosporascus_sp._CRB-9-2	#121022	Xylariales
Monosporascus_sp._GIB2	#121022	Xylariales
Monosporascus_sp._MC13-8B	#121022	Xylariales
Monosporascus_sp._MG133	#121022	Xylariales
Monosporascus_sp._mg162	#121022	Xylariales
Pseudomassariella_vexata	#121022	Xylariales
Pestalotiopsis_fici	#121022	Xylariales
Truncatella_angustata	#121022	Xylariales
Rosellinia_necatrix	#121022	Xylariales
Xylaria_flabelliformis	#121022	Xylariales
Xylaria_grammica	#121022	Xylariales
Xylaria_hypoxylon	#121022	Xylariales
Xylaria_multiplex	#121022	Xylariales
Agaricus_bisporus	#384c26	Agaricales
Agaricus_bisporus	#384c26	Agaricales
Leucoagaricus_leucothites	#384c26	Agaricales
Leucoagaricus_sp._SymC.cos	#384c26	Agaricales
Macrolepiota_fuliginosa	#384c26	Agaricales
Amanita_muscaria	#384c26	Agaricales
Amanita_thiersii	#384c26	Agaricales
Cyclocybe_aegerita	#384c26	Agaricales
Panaeolus_cyanescens	#384c26	Agaricales
Gymnopilus_dilepis	#384c26	Agaricales
Gymnopilus_junonius	#384c26	Agaricales
Hebeloma_cylindrosporum	#384c26	Agaricales
Crepidotus_variabilis	#384c26	Agaricales
Fistulina_hepatica	#384c26	Agaricales
Asterophora_parasitica	#384c26	Agaricales
Hypsizygus_marmoreus	#384c26	Agaricales
Lyophyllum_shimeji	#384c26	Agaricales
Sphagnurus_paluster	#384c26	Agaricales
Termitomyces_sp._J132	#384c26	Agaricales
Tricholomella_constricta	#384c26	Agaricales
Marasmius_oreades	#384c26	Agaricales
Moniliophthora_perniciosa	#384c26	Agaricales
Moniliophthora_roreri	#384c26	Agaricales
Moniliophthora_roreri	#384c26	Agaricales
Tetrapyrgos_nigripes	#384c26	Agaricales
Mycena_chlorophos	#384c26	Agaricales
Mycena_indigotica	#384c26	Agaricales
Mycena_kentingensis_(nom._inval.)	#384c26	Agaricales
Mycena_sanguinolenta	#384c26	Agaricales
Mycena_venus	#384c26	Agaricales
Crucibulum_laeve	#384c26	Agaricales
Dendrothele_bispora	#384c26	Agaricales
Lepista_nuda	#384c26	Agaricales
Collybiopsis_confluens	#384c26	Agaricales
Gymnopus_androsaceus	#384c26	Agaricales
Gymnopus_luxurians	#384c26	Agaricales
Lentinula_edodes	#384c26	Agaricales
Rhodocollybia_butyracea	#384c26	Agaricales
Armillaria_gallica	#384c26	Agaricales
Armillaria_ostoyae	#384c26	Agaricales
Armillaria_solidipes	#384c26	Agaricales
Cylindrobasidium_torrendii	#384c26	Agaricales
Guyanagaster_necrorhizus	#384c26	Agaricales
Pleurotus_eryngii	#384c26	Agaricales
Pleurotus_ostreatus	#384c26	Agaricales
Pleurotus_ostreatus	#384c26	Agaricales
Candolleomyces_aberdarensis	#384c26	Agaricales
Coprinellus_micaceus	#384c26	Agaricales
Coprinopsis_cinerea	#384c26	Agaricales
Coprinopsis_marcescibilis	#384c26	Agaricales
Tulosesus_angulatus	#384c26	Agaricales
Pterula_gracilis	#384c26	Agaricales
Auriculariopsis_ampla	#384c26	Agaricales
Schizophyllum_commune	#384c26	Agaricales
Agrocybe_pediades	#384c26	Agaricales
Galerina_marginata	#384c26	Agaricales
Hypholoma_sublateritium	#384c26	Agaricales
Pholiota_conissans	#384c26	Agaricales
Psilocybe_cf._subviscida	#384c26	Agaricales
Psilocybe_cubensis	#384c26	Agaricales
Psilocybe_cyanescens	#384c26	Agaricales
Laccaria_amethystina	#384c26	Agaricales
Laccaria_bicolor	#384c26	Agaricales
Plicaturopsis_crispa	#fef57b	Amylocorticiales
Athelia_sp._TMB	#8f6f99	Atheliales
Fibularhizoctonia_sp._CBS_109695	#8f6f99	Atheliales
Piloderma_croceum	#8f6f99	Atheliales
Auricularia_subglabra	#c9fb0d	Auriculariales
Exidia_glandulosa	#c9fb0d	Auriculariales
Auriculariales_sp._MPI-PUGE-AT-0066	#c9fb0d	Auriculariales
Boletus_reticuloceps	#151164	Boletales
Phlebopus_sp._FC_14	#151164	Boletales
Coniophora_puteana	#151164	Boletales
Hydnomerulius_pinastri	#151164	Boletales
Paxillus_involutus	#151164	Boletales
Paxillus_rubicundulus	#151164	Boletales
Pisolithus_microcarpus	#151164	Boletales
Pisolithus_tinctorius	#151164	Boletales
Rhizopogon_vesiculosus	#151164	Boletales
Rhizopogon_vinicolor	#151164	Boletales
Scleroderma_citrinum	#151164	Boletales
Serpula_lacrymans	#151164	Boletales
Suillus_discolor	#151164	Boletales
Suillus_luteus	#151164	Boletales
Suillus_placidus	#151164	Boletales
Suillus_plorans	#151164	Boletales
Suillus_subaureus	#151164	Boletales
Botryobasidium_botryosum	#a5496e	Cantharellales
Ceratobasidium_sp._AG-Ba	#a5496e	Cantharellales
Ceratobasidium_theobromae	#a5496e	Cantharellales
Rhizoctonia_solani	#a5496e	Cantharellales
Rhizoctonia_solani	#a5496e	Cantharellales
Rhizoctonia_solani	#a5496e	Cantharellales
Rhizoctonia_solani	#a5496e	Cantharellales
Rhizoctonia_solani	#a5496e	Cantharellales
Clavulina_sp._PMI_390	#a5496e	Cantharellales
Hydnum_rufescens	#a5496e	Cantharellales
Tulasnella_sp._JGI-2019a	#a5496e	Cantharellales
Tulasnella_calospora	#a5496e	Cantharellales
Sphaerobolus_stellatus	#8454d4	Geastrales
Gloeophyllum_trabeum	#6d2dee	Gloeophyllales
Neolentinus_lepideus	#6d2dee	Gloeophyllales
Heliocybe_sulcata	#6d2dee	Gloeophyllales
Pyrrhoderma_noxium	#635142	Hymenochaetales
Sanghuangporus_baumii	#635142	Hymenochaetales
Schizopora_paradoxa	#635142	Hymenochaetales
Jaapia_argillacea	#ae6af2	Jaapiales
Postia_placenta	#0aa99c	Polyporales
Postia_placenta	#0aa99c	Polyporales
Daedalea_quercina	#0aa99c	Polyporales
Fomitopsis_rosea	#0aa99c	Polyporales
Fomitopsis_schrenkii	#0aa99c	Polyporales
Gelatoporia_subvermispora	#0aa99c	Polyporales
Obba_rivulosa	#0aa99c	Polyporales
Grifola_frondosa	#0aa99c	Polyporales
Laetiporus_sulphureus	#0aa99c	Polyporales
Wolfiporia_cocos	#0aa99c	Polyporales
Hermanssonia_centrifuga	#0aa99c	Polyporales
Fibroporia_radiculosa	#0aa99c	Polyporales
Phanerochaete_carnosa	#0aa99c	Polyporales
Phanerochaete_sordida	#0aa99c	Polyporales
Phlebiopsis_gigantea	#0aa99c	Polyporales
Dichomitus_squalens	#0aa99c	Polyporales
Ganoderma_sinense	#0aa99c	Polyporales
Lentinus_tigrinus	#0aa99c	Polyporales
Polyporus_arcularius	#0aa99c	Polyporales
Polyporus_brumalis	#0aa99c	Polyporales
Trametes_cinnabarina	#0aa99c	Polyporales
Trametes_coccinea	#0aa99c	Polyporales
Trametes_pubescens	#0aa99c	Polyporales
Antrodiella_citrinella	#0aa99c	Polyporales
Bondarzewia_mesenterica	#6c82f5	Russulales
Heterobasidion_irregulare	#6c82f5	Russulales
Dentipellis_fragilis	#6c82f5	Russulales
Dentipellis_sp._KUC8613	#6c82f5	Russulales
Hericium_alpestre	#6c82f5	Russulales
Peniophora_sp._CBMAI_1063	#6c82f5	Russulales
Peniophora_sp._CONT	#6c82f5	Russulales
Russula_ochroleuca	#6c82f5	Russulales
Serendipita_indica	#147b98	Sebacinales
Serendipita_vermifera	#147b98	Sebacinales
Thelephora_terrestris	#0d5762	Thelephorales
Sistotremastrum_niveocremeum	#9855c5	Trechisporales
Sistotremastrum_suecicum	#9855c5	Trechisporales
Calocera_cornea	#05f680	Dacrymycetales
Calocera_viscosa	#05f680	Dacrymycetales
Dacryopinax_primogenitus	#05f680	Dacrymycetales
Meira_miltonrushii	#55652f	Exobasidiales
Acaromyces_ingoldii	#55652f	Exobasidiales
Tilletia_controversa	#28ff01	Tilletiales
Tilletia_indica	#28ff01	Tilletiales
Tilletia_walkeri	#28ff01	Tilletiales
Cronartium_quercuum	#65ef12	Pucciniales
Melampsora_larici-populina	#65ef12	Pucciniales
Puccinia_coronata	#65ef12	Pucciniales
Puccinia_graminis	#65ef12	Pucciniales
Puccinia_graminis	#65ef12	Pucciniales
Puccinia_sorghi	#65ef12	Pucciniales
Puccinia_striiformis	#65ef12	Pucciniales
Puccinia_striiformis	#65ef12	Pucciniales
Puccinia_triticina	#65ef12	Pucciniales
Austropuccinia_psidii	#65ef12	Pucciniales
Testicularia_cyperi	#4ed544	Ustilaginales
Kalmanozyma_brasiliensis	#4ed544	Ustilaginales
Moesziomyces_antarcticus	#4ed544	Ustilaginales
Moesziomyces_antarcticus	#4ed544	Ustilaginales
Pseudozyma_flocculosa	#4ed544	Ustilaginales
Pseudozyma_hubeiensis	#4ed544	Ustilaginales
Ustilago_bromivora	#4ed544	Ustilaginales
Ustilago_maydis	#4ed544	Ustilaginales
Ustilago_trichophora	#4ed544	Ustilaginales
Wallemia_hederae	#0d63b4	Wallemiales
Wallemia_ichthyophaga	#0d63b4	Wallemiales
Wallemia_ichthyophaga	#0d63b4	Wallemiales
Wallemia_mellicola	#0d63b4	Wallemiales
Wallemia_mellicola	#0d63b4	Wallemiales
Allomyces_macrogynus	#62e715	Blastocladiales
Catenaria_anguillulae	#62e715	Blastocladiales
Caulochytrium_protostelioides	#585bf9	Caulochytriales
Chytriomyces_confervae	#1d16a0	Chytridiales
Rhizoclosmatium_globosum	#1d16a0	Chytridiales
Blyttiomyces_helicus	#9c00a8	nan
Batrachochytrium_dendrobatidis	#860611	Rhizophydiales
Batrachochytrium_dendrobatidis	#860611	Rhizophydiales
Batrachochytrium_salamandrivorans	#860611	Rhizophydiales
Powellomyces_hirtus	#b1dc88	Spizellomycetales
Spizellomyces_punctatus	#b1dc88	Spizellomycetales
Paramicrosporidium_saccamoebae	#9c00a8	nan
Rozella_allomycis	#9c00a8	nan
Edhazardia_aedis	#9c00a8	nan
Hamiltosporidium_magnivora	#9c00a8	nan
Hamiltosporidium_tvaerminnensis	#9c00a8	nan
Mitosporidium_daphniae	#9c00a8	nan
Nematocida_ausubeli	#9c00a8	nan
Nematocida_parisii	#9c00a8	nan
Pseudoloma_neurophilia	#9c00a8	nan
Nosema_apis	#9c00a8	nan
Nosema_bombycis	#9c00a8	nan
Nosema_ceranae	#9c00a8	nan
Nosema_ceranae	#9c00a8	nan
Nosema_granulosis	#9c00a8	nan
Trachipleistophora_hominis	#9c00a8	nan
Vavraia_culicis	#9c00a8	nan
Spraguea_lophii	#9c00a8	nan
Anncaliia_algerae	#9c00a8	nan
Anncaliia_algerae	#9c00a8	nan
Tubulinosema_ratisbonensis	#9c00a8	nan
Endogone_sp._FLAS-F59071	#a67117	Endogonales
Diversispora_epigaea	#c70c14	Diversisporales
Cetraspora_pellucida	#c70c14	Diversisporales
Dentiscutata_erythropus	#c70c14	Diversisporales
Gigaspora_margarita	#c70c14	Diversisporales
Gigaspora_rosea	#c70c14	Diversisporales
Racocetra_fulgida	#c70c14	Diversisporales
Funneliformis_caledonium	#1b5d7d	Glomerales
Funneliformis_mosseae	#1b5d7d	Glomerales
Glomus_cerebriforme	#1b5d7d	Glomerales
Rhizophagus_clarus	#1b5d7d	Glomerales
Rhizophagus_irregularis	#1b5d7d	Glomerales
Rhizophagus_irregularis	#1b5d7d	Glomerales
Paraglomus_brasilianum	#a8f6fa	Paraglomerales
Dissophora_globulifera	#5e8068	Mortierellales
Entomortierella_chlamydospora	#5e8068	Mortierellales
Linnemannia_gamsii	#5e8068	Mortierellales
Modicella_reniformis	#5e8068	Mortierellales
Mortierella_hygrophila	#5e8068	Mortierellales
Mortierella_sp._AD011	#5e8068	Mortierellales
Mortierella_sp._AD032	#5e8068	Mortierellales
Mortierella_sp._NVP85	#5e8068	Mortierellales
fungal_sp._No.11243	#9c00a8	nan
fungal_sp._No.14919	#9c00a8	nan
Basidiobolus_meristosporus	#026ce1	Basidiobolales
Dimargaris_cristalligena	#38a8bf	Dimargaritales
Conidiobolus_coronatus	#c74847	Entomophthorales
Furculomyces_boomerangus	#4d9fb8	Harpellales
Smittium_culicis	#4d9fb8	Harpellales
Smittium_megazygosporum	#4d9fb8	Harpellales
Smittium_mucronatum	#4d9fb8	Harpellales
Smittium_simulii	#4d9fb8	Harpellales
Zancudomyces_culisetae	#4d9fb8	Harpellales
Coemansia_reversa	#cd45d1	Kickxellales
Linderina_pennispora	#cd45d1	Kickxellales
Piptocephalis_cylindrospora	#5d0b10	Zoopagales
Syncephalis_pseudoplumigaleata	#5d0b10	Zoopagales
Thamnocephalis_sphaerospora	#5d0b10	Zoopagales
Helobdella_robusta	#8c964a	Rhynchobdellida
Capitella_teleta	#9c00a8	nan
Owenia_fusiformis	#89f5e7	Sabellida
Araneus_ventricosus	#654efb	Araneae
Stegodyphus_mimosarum	#654efb	Araneae
Nephila_pilipes	#654efb	Araneae
Trichonephila_clavata	#654efb	Araneae
Trichonephila_inaurata	#654efb	Araneae
Medioppia_subpectinata	#ca0318	Sarcoptiformes
Oppiella_nova	#ca0318	Sarcoptiformes
Tetranychus_urticae	#931b2b	Trombidiformes
Dinothrombium_tinctorium	#931b2b	Trombidiformes
Ladona_fulva	#f20cb7	Odonata
Lingula_anatina	#bb7084	Lingulida
Bugula_neritina	#f30025	Cheilostomatida
Acipenser_ruthenus	#caa932	Acipenseriformes
Albula_glossodonta	#a36f25	Albuliformes
Albula_goreensis	#a36f25	Albuliformes
Anabas_testudineus	#591946	Anabantiformes
Channa_argus	#591946	Anabantiformes
Betta_splendens	#591946	Anabantiformes
Anguilla_anguilla	#fd5d04	Anguilliformes
Conger_conger	#fd5d04	Anguilliformes
Synaphobranchus_kaupii	#fd5d04	Anguilliformes
Menidia_menidia	#926d72	Atheriniformes
Oryzias_javanicus	#ec4ed6	Beloniformes
Oryzias_latipes	#ec4ed6	Beloniformes
Oryzias_melastigma	#ec4ed6	Beloniformes
Oryzias_sinensis	#ec4ed6	Beloniformes
Salarias_fasciatus	#927acf	Blenniiformes
Gouania_willdenowi	#927acf	Blenniiformes
Echeneis_naucrates	#c29c9d	Carangiformes
Astyanax_mexicanus	#dee8ac	Characiformes
Haplochromis_burtoni	#dc65a7	Cichliformes
Maylandia_zebra	#dc65a7	Cichliformes
Neolamprologus_brichardi	#dc65a7	Cichliformes
Oreochromis_aureus	#dc65a7	Cichliformes
Oreochromis_niloticus	#dc65a7	Cichliformes
Pundamilia_nyererei	#dc65a7	Cichliformes
Clupea_harengus	#6ee990	Clupeiformes
Denticeps_clupeoides	#6ee990	Clupeiformes
Carassius_auratus	#38ce5d	Cypriniformes
Cyprinus_carpio	#38ce5d	Cypriniformes
Cyprinus_carpio	#38ce5d	Cypriniformes
Labeo_rohita	#38ce5d	Cypriniformes
Onychostoma_macrolepis	#38ce5d	Cypriniformes
Sinocyclocheilus_anshuiensis	#38ce5d	Cypriniformes
Sinocyclocheilus_grahami	#38ce5d	Cypriniformes
Sinocyclocheilus_rhinocerous	#38ce5d	Cypriniformes
Danio_rerio	#38ce5d	Cypriniformes
Danionella_translucida	#38ce5d	Cypriniformes
Triplophysa_tibetana	#38ce5d	Cypriniformes
Anabarilius_grahami	#38ce5d	Cypriniformes
Cyprinodon_variegatus	#10b562	Cyprinodontiformes
Nothobranchius_furzeri	#10b562	Cyprinodontiformes
Gambusia_affinis	#10b562	Cyprinodontiformes
Poecilia_formosa	#10b562	Cyprinodontiformes
Poecilia_reticulata	#10b562	Cyprinodontiformes
Xiphophorus_maculatus	#10b562	Cyprinodontiformes
Austrofundulus_limnaeus	#10b562	Cyprinodontiformes
Kryptolebias_marmoratus	#10b562	Cyprinodontiformes
Megalops_atlanticus	#0f6194	Elopiformes
Esox_lucius	#a2efc9	Esociformes
Gadus_morhua	#968093	Gadiformes
Muraenolepis_orangiensis	#968093	Gadiformes
Neogobius_melanostomus	#e1f3f8	Gobiiformes
Chanos_chanos	#3b2754	Gonorynchiformes
Electrophorus_electricus	#cdf9c9	Gymnotiformes
Myripristis_murdjan	#ad5b75	Holocentriformes
Sphaeramia_orbicularis	#1559f2	Kurtiformes
Labrus_bergylta	#28b928	Labriformes
Parambassis_ranga	#9c00a8	nan
Lates_calcarifer	#9c00a8	nan
Dicentrarchus_labrax	#9c00a8	nan
Acanthochromis_polyacanthus	#9c00a8	nan
Amphiprion_ocellaris	#9c00a8	nan
Amphiprion_percula	#9c00a8	nan
Stegastes_partitus	#9c00a8	nan
Collichthys_lucidus	#9c00a8	nan
Larimichthys_crocea	#9c00a8	nan
Scleropages_formosus	#788b7d	Osteoglossiformes
Gymnodraco_acuticeps	#841728	Perciformes
Cottoperca_gobio	#841728	Perciformes
Cyclopterus_lumpus	#841728	Perciformes
Gasterosteus_aculeatus	#841728	Perciformes
Liparis_tanakae	#841728	Perciformes
Dissostichus_mawsoni	#841728	Perciformes
Notothenia_coriiceps	#841728	Perciformes
Etheostoma_spectabile	#841728	Perciformes
Perca_flavescens	#841728	Perciformes
Perca_fluviatilis	#841728	Perciformes
Sander_lucioperca	#841728	Perciformes
Cynoglossus_semilaevis	#16d48a	Pleuronectiformes
Pleuronectes_platessa	#16d48a	Pleuronectiformes
Scophthalmus_maximus	#16d48a	Pleuronectiformes
Coregonus_sp._'balchen'	#0d8733	Salmoniformes
Hucho_hucho	#0d8733	Salmoniformes
Oncorhynchus_kisutch	#0d8733	Salmoniformes
Oncorhynchus_mykiss	#0d8733	Salmoniformes
Oncorhynchus_tshawytscha	#0d8733	Salmoniformes
Salmo_salar	#0d8733	Salmoniformes
Salmo_trutta	#0d8733	Salmoniformes
Salvelinus_namaycush	#0d8733	Salmoniformes
Atractosteus_spatula	#f827f1	Semionotiformes
Lepisosteus_oculatus	#f827f1	Semionotiformes
Hemibagrus_wyckioides	#11afbd	Siluriformes
Clarias_magur	#11afbd	Siluriformes
Ameiurus_melas	#11afbd	Siluriformes
Pangasianodon_hypophthalmus	#11afbd	Siluriformes
Silurus_meridionalis	#11afbd	Siluriformes
Bagarius_yarrelli	#11afbd	Siluriformes
Sparus_aurata	#788734	Spariformes
Mastacembelus_armatus	#c310ad	Synbranchiformes
Mola_mola	#4ad327	Tetraodontiformes
Takifugu_bimaculatus	#4ad327	Tetraodontiformes
Takifugu_flavidus	#4ad327	Tetraodontiformes
Takifugu_rubripes	#4ad327	Tetraodontiformes
Tetraodon_nigroviridis	#4ad327	Tetraodontiformes
Eleutherodactylus_coqui	#f9d58a	Anura
Leptobrachium_leishanense	#f9d58a	Anura
Hymenochirus_boettgeri	#f9d58a	Anura
Xenopus_laevis	#f9d58a	Anura
Xenopus_tropicalis	#f9d58a	Anura
Lithobates_catesbeianus	#f9d58a	Anura
Geotrypetes_seraphini	#d08cc2	Gymnophiona
Microcaecilia_unicolor	#d08cc2	Gymnophiona
Ciona_intestinalis	#be228e	Phlebobranchia
Ciona_savignyi	#be228e	Phlebobranchia
Accipiter_nisus	#6b6a3c	Accipitriformes
Aquila_chrysaetos	#6b6a3c	Accipitriformes
Buteo_japonicus	#6b6a3c	Accipitriformes
Circaetus_pectoralis	#6b6a3c	Accipitriformes
Haliaeetus_albicilla	#6b6a3c	Accipitriformes
Spizaetus_tyrannus	#6b6a3c	Accipitriformes
Cathartes_aura	#6b6a3c	Accipitriformes
Pandion_haliaetus	#6b6a3c	Accipitriformes
Sagittarius_serpentarius	#6b6a3c	Accipitriformes
Anas_platyrhynchos	#38d579	Anseriformes
Anas_platyrhynchos	#38d579	Anseriformes
Anas_zonorhyncha	#38d579	Anseriformes
Anser_brachyrhynchus	#38d579	Anseriformes
Anser_cygnoides	#38d579	Anseriformes
Asarcornis_scutulata	#38d579	Anseriformes
Aythya_fuligula	#38d579	Anseriformes
Cairina_moschata	#38d579	Anseriformes
Chauna_torquata	#38d579	Anseriformes
Anseranas_semipalmata	#38d579	Anseriformes
Hemiprocne_comata	#d4bfbc	Apodiformes
Calypte_anna	#d4bfbc	Apodiformes
Oreotrochilus_melanogaster	#d4bfbc	Apodiformes
Apteryx_mantelli	#f35ce1	Apterygiformes
Apteryx_owenii	#f35ce1	Apterygiformes
Buceros_rhinoceros	#3e4a86	Bucerotiformes
Bucorvus_abyssinicus	#3e4a86	Bucerotiformes
Aegotheles_bennettii	#899a98	Caprimulgiformes
Antrostomus_carolinensis	#899a98	Caprimulgiformes
Chordeiles_acutipennis	#899a98	Caprimulgiformes
Nyctiprogne_leucopyga	#899a98	Caprimulgiformes
Nyctibius_bracteatus	#899a98	Caprimulgiformes
Nyctibius_grandis	#899a98	Caprimulgiformes
Podargus_strigoides	#899a98	Caprimulgiformes
Steatornis_caripensis	#899a98	Caprimulgiformes
Cariama_cristata	#d1fbbf	Cariamiformes
Chunga_burmeisteri	#d1fbbf	Cariamiformes
Dromaius_novaehollandiae	#152412	Casuariiformes
Alca_torda	#4c06b6	Charadriiformes
Cepphus_grylle	#4c06b6	Charadriiformes
Burhinus_bistriatus	#4c06b6	Charadriiformes
Charadrius_vociferus	#4c06b6	Charadriiformes
Ibidorhyncha_struthersii	#4c06b6	Charadriiformes
Pluvianellus_socialis	#4c06b6	Charadriiformes
Chionis_minor	#4c06b6	Charadriiformes
Dromas_ardeola	#4c06b6	Charadriiformes
Glareola_pratincola	#4c06b6	Charadriiformes
Rhinoptilus_africanus	#4c06b6	Charadriiformes
Jacana_jacana	#4c06b6	Charadriiformes
Larus_smithsonianus	#4c06b6	Charadriiformes
Phaetusa_simplex	#4c06b6	Charadriiformes
Rissa_tridactyla	#4c06b6	Charadriiformes
Rynchops_niger	#4c06b6	Charadriiformes
Pedionomus_torquatus	#4c06b6	Charadriiformes
Himantopus_himantopus	#4c06b6	Charadriiformes
Nycticryphes_semicollaris	#4c06b6	Charadriiformes
Rostratula_benghalensis	#4c06b6	Charadriiformes
Arenaria_interpres	#4c06b6	Charadriiformes
Calidris_pygmaea	#4c06b6	Charadriiformes
Limosa_lapponica	#4c06b6	Charadriiformes
Stercorarius_parasiticus	#4c06b6	Charadriiformes
Turnix_velox	#4c06b6	Charadriiformes
Balaeniceps_rex	#8f197e	Ciconiiformes
Ciconia_maguari	#8f197e	Ciconiiformes
Pterocles_burchelli	#8f197e	Ciconiiformes
Pterocles_gutturalis	#8f197e	Ciconiiformes
Syrrhaptes_paradoxus	#8f197e	Ciconiiformes
Scopus_umbretta	#8f197e	Ciconiiformes
Thinocorus_orbignyianus	#8f197e	Ciconiiformes
Colius_striatus	#f3c4cc	Coliiformes
Urocolius_indicus	#f3c4cc	Coliiformes
Alopecoenas_beccarii	#972255	Columbiformes
Caloenas_nicobarica	#972255	Columbiformes
Columba_livia	#972255	Columbiformes
Columbina_picui	#972255	Columbiformes
Patagioenas_fasciata	#972255	Columbiformes
Ceyx_cyanopectus	#0dac1d	Coraciiformes
Halcyon_senegalensis	#0dac1d	Coraciiformes
Brachypteracias_leptosomus	#0dac1d	Coraciiformes
Chloroceryle_aenea	#0dac1d	Coraciiformes
Eurystomus_gularis	#0dac1d	Coraciiformes
Leptosomus_discolor	#0dac1d	Coraciiformes
Merops_nubicus	#0dac1d	Coraciiformes
Baryphthengus_martii	#0dac1d	Coraciiformes
Todus_mexicanus	#0dac1d	Coraciiformes
Centropus_unirufus	#4636aa	Cuculiformes
Piaya_cayana	#4636aa	Cuculiformes
Crotophaga_sulcirostris	#4636aa	Cuculiformes
Ceuthmochares_aereus	#4636aa	Cuculiformes
Cuculus_canorus	#4636aa	Cuculiformes
Geococcyx_californianus	#4636aa	Cuculiformes
Falco_tinnunculus	#99b173	Falconiformes
Herpetotheres_cachinnans	#99b173	Falconiformes
Bucco_capensis	#526d79	Galbuliformes
Galbula_dea	#526d79	Galbuliformes
Penelope_pileata	#91cca4	Galliformes
Alectura_lathami	#91cca4	Galliformes
Callipepla_squamata	#91cca4	Galliformes
Odontophorus_gujanensis	#91cca4	Galliformes
Bambusicola_thoracicus	#91cca4	Galliformes
Chrysolophus_pictus	#91cca4	Galliformes
Coturnix_japonica	#91cca4	Galliformes
Gallus_gallus	#91cca4	Galliformes
Meleagris_gallopavo	#91cca4	Galliformes
Pavo_cristatus	#91cca4	Galliformes
Phasianus_colchicus	#91cca4	Galliformes
Gavia_stellata	#527e5e	Gaviiformes
