DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	order-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#ff91ad	Acrospermales
Pleomassaria_siparia	#28da68	Pleosporales
Alternaria_alternata	#28da68	Pleosporales
Alternaria_atra	#28da68	Pleosporales
Alternaria_burnsii	#28da68	Pleosporales
Alternaria_sp._MG1	#28da68	Pleosporales
Bipolaris_maydis	#28da68	Pleosporales
Bipolaris_sorokiniana	#28da68	Pleosporales
Bipolaris_sorokiniana	#28da68	Pleosporales
Bipolaris_zeicola	#28da68	Pleosporales
Curvularia_clavata	#28da68	Pleosporales
Curvularia_kusanoi	#28da68	Pleosporales
Decorospora_gaudefroyi	#28da68	Pleosporales
Exserohilum_turcicum	#28da68	Pleosporales
Pyrenophora_seminiperda	#28da68	Pleosporales
Pyrenophora_teres	#28da68	Pleosporales
Pyrenophora_tritici-repentis	#28da68	Pleosporales
Pyrenophora_tritici-repentis	#28da68	Pleosporales
Stemphylium_lycopersici	#28da68	Pleosporales
Sporormia_fimetaria	#28da68	Pleosporales
Westerdykella_ornata	#28da68	Pleosporales
Polyplosphaeria_fusca	#28da68	Pleosporales
Dendryphion_nanum	#28da68	Pleosporales
Trematosphaeria_pertusa	#28da68	Pleosporales
Viridothelium_virens	#b4b874	Trypetheliales
Tothia_fuscella	#1cfd10	Venturiales
Verruconis_gallopava	#1cfd10	Venturiales
Venturia_effusa	#1cfd10	Venturiales
Venturia_inaequalis	#1cfd10	Venturiales
Venturia_nashicola	#1cfd10	Venturiales
Cyphellophora_europaea	#a88340	Chaetothyriales
Capronia_coronata	#a88340	Chaetothyriales
Capronia_epimyces	#a88340	Chaetothyriales
Cladophialophora_carrionii	#a88340	Chaetothyriales
Cladophialophora_immunda	#a88340	Chaetothyriales
Cladophialophora_psammophila	#a88340	Chaetothyriales
Cladophialophora_yegresii	#a88340	Chaetothyriales
Exophiala_aquamarina	#a88340	Chaetothyriales
Exophiala_dermatitidis	#a88340	Chaetothyriales
Exophiala_mesophila	#a88340	Chaetothyriales
Exophiala_oligosperma	#a88340	Chaetothyriales
Exophiala_sideris	#a88340	Chaetothyriales
Exophiala_spinifera	#a88340	Chaetothyriales
Exophiala_xenobiotica	#a88340	Chaetothyriales
Fonsecaea_erecta	#a88340	Chaetothyriales
Fonsecaea_multimorphosa	#a88340	Chaetothyriales
Fonsecaea_pedrosoi	#a88340	Chaetothyriales
Phialophora_attinorum	#a88340	Chaetothyriales
Phialophora_macrospora	#a88340	Chaetothyriales
Rhinocladiella_mackenziei	#a88340	Chaetothyriales
Chaetothyriales_sp._CBS_132003	#a88340	Chaetothyriales
Chaetothyriales_sp._CBS_134916	#a88340	Chaetothyriales
Chaetothyriales_sp._CBS_134920	#a88340	Chaetothyriales
Chaetothyriales_sp._CBS_135597	#a88340	Chaetothyriales
Aspergillus_aculeatus	#2cbf9f	Eurotiales
Aspergillus_alliaceus	#2cbf9f	Eurotiales
Aspergillus_arachidicola	#2cbf9f	Eurotiales
Aspergillus_avenaceus	#2cbf9f	Eurotiales
Aspergillus_awamori	#2cbf9f	Eurotiales
Aspergillus_bertholletiae	#2cbf9f	Eurotiales
Aspergillus_bombycis	#2cbf9f	Eurotiales
Aspergillus_brasiliensis	#2cbf9f	Eurotiales
Aspergillus_burnettii	#2cbf9f	Eurotiales
Aspergillus_caelatus	#2cbf9f	Eurotiales
Aspergillus_calidoustus	#2cbf9f	Eurotiales
Aspergillus_candidus	#2cbf9f	Eurotiales
Aspergillus_carbonarius	#2cbf9f	Eurotiales
Aspergillus_chevalieri	#2cbf9f	Eurotiales
Aspergillus_clavatus	#2cbf9f	Eurotiales
Aspergillus_coremiiformis	#2cbf9f	Eurotiales
Aspergillus_cristatus	#2cbf9f	Eurotiales
Aspergillus_ellipticus	#2cbf9f	Eurotiales
Aspergillus_felis	#2cbf9f	Eurotiales
Aspergillus_fischeri	#2cbf9f	Eurotiales
Aspergillus_fumigatiaffinis	#2cbf9f	Eurotiales
Aspergillus_fumigatus	#2cbf9f	Eurotiales
Aspergillus_glaucus	#2cbf9f	Eurotiales
Aspergillus_heteromorphus	#2cbf9f	Eurotiales
Aspergillus_hiratsukae	#2cbf9f	Eurotiales
Aspergillus_homomorphus	#2cbf9f	Eurotiales
Aspergillus_ibericus	#2cbf9f	Eurotiales
Aspergillus_leporis	#2cbf9f	Eurotiales
Aspergillus_minisclerotigenes	#2cbf9f	Eurotiales
Aspergillus_mulundensis	#2cbf9f	Eurotiales
Aspergillus_nidulans	#2cbf9f	Eurotiales
Aspergillus_niger	#2cbf9f	Eurotiales
Aspergillus_nomiae	#2cbf9f	Eurotiales
Aspergillus_novofumigatus	#2cbf9f	Eurotiales
Aspergillus_novoparasiticus	#2cbf9f	Eurotiales
Aspergillus_oryzae	#2cbf9f	Eurotiales
Aspergillus_oryzae	#2cbf9f	Eurotiales
Aspergillus_parasiticus	#2cbf9f	Eurotiales
Aspergillus_parasiticus	#2cbf9f	Eurotiales
Aspergillus_pseudonomiae	#2cbf9f	Eurotiales
Aspergillus_pseudotamarii	#2cbf9f	Eurotiales
Aspergillus_puulaauensis	#2cbf9f	Eurotiales
Aspergillus_rambellii	#2cbf9f	Eurotiales
Aspergillus_ruber	#2cbf9f	Eurotiales
Aspergillus_saccharolyticus	#2cbf9f	Eurotiales
Aspergillus_sclerotialis	#2cbf9f	Eurotiales
Aspergillus_sclerotiicarbonarius	#2cbf9f	Eurotiales
Aspergillus_sclerotioniger	#2cbf9f	Eurotiales
Aspergillus_sp._HF37	#2cbf9f	Eurotiales
Aspergillus_steynii	#2cbf9f	Eurotiales
Aspergillus_sydowii	#2cbf9f	Eurotiales
Aspergillus_tamarii	#2cbf9f	Eurotiales
Aspergillus_tanneri	#2cbf9f	Eurotiales
Aspergillus_terreus	#2cbf9f	Eurotiales
Aspergillus_terreus	#2cbf9f	Eurotiales
Aspergillus_thermomutatus	#2cbf9f	Eurotiales
Aspergillus_tubingensis	#2cbf9f	Eurotiales
Aspergillus_turcosus	#2cbf9f	Eurotiales
Aspergillus_udagawae	#2cbf9f	Eurotiales
Aspergillus_uvarum	#2cbf9f	Eurotiales
Aspergillus_versicolor	#2cbf9f	Eurotiales
Aspergillus_violaceofuscus	#2cbf9f	Eurotiales
Aspergillus_welwitschiae	#2cbf9f	Eurotiales
Aspergillus_wentii	#2cbf9f	Eurotiales
Monascus_purpureus	#2cbf9f	Eurotiales
Penicilliopsis_zonata	#2cbf9f	Eurotiales
Penicillium_antarcticum	#2cbf9f	Eurotiales
Penicillium_arizonense	#2cbf9f	Eurotiales
Penicillium_brasilianum	#2cbf9f	Eurotiales
Penicillium_coprophilum	#2cbf9f	Eurotiales
Penicillium_crustosum	#2cbf9f	Eurotiales
Penicillium_decumbens	#2cbf9f	Eurotiales
Penicillium_digitatum	#2cbf9f	Eurotiales
Penicillium_expansum	#2cbf9f	Eurotiales
Penicillium_flavigenum	#2cbf9f	Eurotiales
Penicillium_freii	#2cbf9f	Eurotiales
Penicillium_griseofulvum	#2cbf9f	Eurotiales
Penicillium_italicum	#2cbf9f	Eurotiales
Penicillium_nalgiovense	#2cbf9f	Eurotiales
Penicillium_nordicum	#2cbf9f	Eurotiales
Penicillium_oxalicum	#2cbf9f	Eurotiales
Penicillium_polonicum	#2cbf9f	Eurotiales
Penicillium_rubens	#2cbf9f	Eurotiales
Penicillium_solitum	#2cbf9f	Eurotiales
Penicillium_sp._'occitanis'	#2cbf9f	Eurotiales
Penicillium_sp._RFL-2021a	#2cbf9f	Eurotiales
Penicillium_steckii	#2cbf9f	Eurotiales
